kernel,platform,n,experiment,stratification,tau,predictor,counter,spearman_rho
gemv,matrix,100,2,all,l1_to_l2,J_area,tex_source_l2_read_requests,0.29855017910106935
gemv,tuolumne,100,2,all,l1_to_l2,J_area,l1_to_l2_read_requests,0.9767686972346816
gesummv,matrix,100,2,all,l1_to_l2,J_area,tex_source_l2_read_requests,0.4417067396425238
gesummv,tuolumne,100,2,all,l1_to_l2,J_area,l1_to_l2_read_requests,0.7267000102924207
mvt,matrix,100,2,all,l1_to_l2,J_area,tex_source_l2_read_requests,0.7707003605658098
mvt,tuolumne,100,2,all,l1_to_l2,J_area,l1_to_l2_read_requests,0.9350750478673971
embedding_bag,matrix,100,2,all,l1_to_l2,J_area,tex_source_l2_read_requests,0.965530518148185
embedding_bag,tuolumne,100,2,all,l1_to_l2,J_area,l1_to_l2_read_requests,0.9880217337537001
softmax_bias,matrix,100,2,all,l1_to_l2,J_area,tex_source_l2_read_requests,0.9587142924907198
softmax_bias,tuolumne,100,2,all,l1_to_l2,J_area,l1_to_l2_read_requests,1.0
stencil5,matrix,100,2,all,l1_to_l2,J_area,tex_source_l2_read_requests,0.931463679094539
stencil5,tuolumne,100,2,all,l1_to_l2,J_area,l1_to_l2_read_requests,0.9991242152749961
