device,tau,experiment,stratification,counter,label,median_spearman_rho,defined_kernels
H100,expert,1,all,tex_source_l2_read_requests,Read requests,0.6659563191781677,6
H100,expert,1,all,l2_read_work,Read sectors,0.5891954934433461,6
H100,expert,1,all,l2_read_misses,Read-sector misses,0.41629326698943325,6
H100,expert,1,issue,tex_source_l2_read_requests,Read requests,0.7593293503657087,6
H100,expert,1,issue,l2_read_work,Read sectors,0.4851390713674316,6
H100,expert,1,issue,l2_read_misses,Read-sector misses,0.3686731327686352,6
H100,expert,1,temporal,tex_source_l2_read_requests,Read requests,0.6480592912044494,6
H100,expert,1,temporal,l2_read_work,Read sectors,0.6613408119320957,6
H100,expert,1,temporal,l2_read_misses,Read-sector misses,0.3536963223419391,6
H100,expert,2,all,tex_source_l2_read_requests,Read requests,0.7755242513309848,6
H100,expert,2,all,l2_read_work,Read sectors,0.6968749244667752,6
H100,expert,2,all,l2_read_misses,Read-sector misses,0.21666714438810583,6
H100,expert,2,issue,tex_source_l2_read_requests,Read requests,0.7930586575292635,6
H100,expert,2,issue,l2_read_work,Read sectors,0.3763508872942387,6
H100,expert,2,issue,l2_read_misses,Read-sector misses,0.37703689012779174,6
H100,expert,2,temporal,tex_source_l2_read_requests,Read requests,0.7782543723084774,6
H100,expert,2,temporal,l2_read_work,Read sectors,0.6717298878384922,6
H100,expert,2,temporal,l2_read_misses,Read-sector misses,0.3554087579423036,6
H100,expert,3,all,tex_source_l2_read_requests,Read requests,0.621510930656469,6
H100,expert,3,all,l2_read_work,Read sectors,0.16995051957778567,6
H100,expert,3,all,l2_read_misses,Read-sector misses,0.5325813429094272,6
H100,expert,3,issue,tex_source_l2_read_requests,Read requests,0.6514101844450753,6
H100,expert,3,issue,l2_read_work,Read sectors,0.1880676055492213,6
H100,expert,3,issue,l2_read_misses,Read-sector misses,0.5035412653410333,6
H100,expert,3,temporal,tex_source_l2_read_requests,Read requests,0.5679153076233525,6
H100,expert,3,temporal,l2_read_work,Read sectors,0.20119561675302067,6
H100,expert,3,temporal,l2_read_misses,Read-sector misses,0.5012121297594538,6
H100,l1_to_l2,1,all,tex_source_l2_read_requests,Read requests,0.7496216615817951,6
H100,l1_to_l2,1,all,l2_read_work,Read sectors,0.5817806830590366,6
H100,l1_to_l2,1,all,l2_read_misses,Read-sector misses,0.36960157481369876,6
H100,l1_to_l2,1,issue,tex_source_l2_read_requests,Read requests,0.8248828547839588,6
H100,l1_to_l2,1,issue,l2_read_work,Read sectors,0.5183928571662633,6
H100,l1_to_l2,1,issue,l2_read_misses,Read-sector misses,0.36308071826754285,6
H100,l1_to_l2,1,temporal,tex_source_l2_read_requests,Read requests,0.7492084132504515,6
H100,l1_to_l2,1,temporal,l2_read_work,Read sectors,0.6280514558752823,6
H100,l1_to_l2,1,temporal,l2_read_misses,Read-sector misses,0.27646724403735334,6
H100,l1_to_l2,2,all,tex_source_l2_read_requests,Read requests,0.8510820198301744,6
H100,l1_to_l2,2,all,l2_read_work,Read sectors,0.7331369292067345,6
H100,l1_to_l2,2,all,l2_read_misses,Read-sector misses,0.23751100843257833,6
H100,l1_to_l2,2,issue,tex_source_l2_read_requests,Read requests,0.8281610828806403,6
H100,l1_to_l2,2,issue,l2_read_work,Read sectors,0.44288615989265845,6
H100,l1_to_l2,2,issue,l2_read_misses,Read-sector misses,0.36945158299990644,6
