device,tau,experiment,stratification,kernel,counter,label,native_counter,n,spearman_rho,undefined_reason
H100,expert,1,all,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.37495237577677015,
H100,expert,1,all,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7996044328916816,
H100,expert,1,all,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.05365653769755884,
H100,expert,1,all,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.5080903796315305,
H100,expert,1,all,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7635186248175894,
H100,expert,1,all,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.2480164624788792,
H100,expert,1,all,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.4928332145367709,
H100,expert,1,all,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.25382515353398005,
H100,expert,1,all,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.3715929953507231,
H100,expert,1,all,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9111845455446402,
H100,expert,1,all,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9245658333527123,
H100,expert,1,all,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.5845700714999873,
H100,expert,1,all,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.8238222587248049,
H100,expert,1,all,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.947074648575242,
H100,expert,1,all,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6537783671477786,
H100,expert,1,all,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9158217283527046,
H100,expert,1,all,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9589691234253064,
H100,expert,1,all,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9090088440592285,
H100,expert,1,issue,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.5779799993839428,
H100,expert,1,issue,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7784114840098397,
H100,expert,1,issue,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.029228457218123005,
H100,expert,1,issue,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.5507801036179918,
H100,expert,1,issue,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7732728417814745,
H100,expert,1,issue,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.06588464121223131,
H100,expert,1,issue,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6416980888538175,
H100,expert,1,issue,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.057482982507096075,
H100,expert,1,issue,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.33224000724205205,
H100,expert,1,issue,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9353549200128257,
H100,expert,1,issue,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9127951602277672,
H100,expert,1,issue,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6714616243250391,
H100,expert,1,issue,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.8769606118775999,
H100,expert,1,issue,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9548156390692456,
H100,expert,1,issue,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.7192347603155581,
H100,expert,1,issue,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9469289167978572,
H100,expert,1,issue,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9537236590381382,
H100,expert,1,issue,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.8959558529699926,
H100,expert,1,temporal,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.42712558081982693,
H100,expert,1,temporal,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.8709814341705163,
H100,expert,1,temporal,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.11388010561862676,
H100,expert,1,temporal,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.4519464329646086,
H100,expert,1,temporal,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7801090049744802,
H100,expert,1,temporal,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.12748951626138375,
H100,expert,1,temporal,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.4962662907869623,
H100,expert,1,temporal,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.39746777447530895,
H100,expert,1,temporal,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.3080481132057471,
H100,expert,1,temporal,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.8562353834981755,
H100,expert,1,temporal,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9252138493888825,
H100,expert,1,temporal,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.5799031284224945,
H100,expert,1,temporal,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.7998522916219364,
H100,expert,1,temporal,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9419615876063552,
H100,expert,1,temporal,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.7779798438947972,
H100,expert,1,temporal,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9013856329984695,
H100,expert,1,temporal,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9685387410331711,
H100,expert,1,temporal,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9062898159456905,
H100,expert,2,all,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.1564169041267691,
H100,expert,2,all,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.914757317472462,
H100,expert,2,all,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.2006845028079069,
H100,expert,2,all,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.30990302867987285,
H100,expert,2,all,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.9077825919782371,
H100,expert,2,all,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.2952214770694413,
H100,expert,2,all,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6481515762584772,
H100,expert,2,all,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.48196104953907054,
H100,expert,2,all,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.3559131185055821,
H100,expert,2,all,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9204372336569759,
H100,expert,2,all,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9560415637970023,
H100,expert,2,all,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.7787469763978755,
H100,expert,2,all,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9289292849958919,
H100,expert,2,all,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.91178879939448,
H100,expert,2,all,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6340187915841186,
H100,expert,2,all,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9028969264034924,
H100,expert,2,all,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9501576987522675,
H100,expert,2,all,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9307828407575071,
H100,expert,2,issue,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.29144639267730915,
H100,expert,2,issue,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.9009655487674038,
H100,expert,2,issue,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.12326620463944854,
H100,expert,2,issue,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.27441678575593476,
H100,expert,2,issue,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.8785822162613802,
H100,expert,2,issue,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.2714233664437288,
H100,expert,2,issue,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6630685260354937,
H100,expert,2,issue,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.18745409322664935,
H100,expert,2,issue,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.253499292554169,
H100,expert,2,issue,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9490146622782031,
H100,expert,2,issue,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.951381643773247,
H100,expert,2,issue,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.7913644874561029,
H100,expert,2,issue,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9230487890230334,
H100,expert,2,issue,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.960900067365857,
H100,expert,2,issue,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6308075756161349,
H100,expert,2,issue,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.926227257253296,
H100,expert,2,issue,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9401558678151268,
H100,expert,2,issue,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9223349007499261,
H100,expert,2,temporal,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.17647953133277128,
H100,expert,2,temporal,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.9067403757693039,
H100,expert,2,temporal,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.014837475235806283,
H100,expert,2,temporal,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.3656557512067415,
H100,expert,2,temporal,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.9054669004296771,
H100,expert,2,temporal,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.17570018932268797,
H100,expert,2,temporal,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6494964078901393,
H100,expert,2,temporal,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.44898065761878453,
H100,expert,2,temporal,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.057087373129736226,
H100,expert,2,temporal,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9070123367268155,
H100,expert,2,temporal,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9615780634194475,
H100,expert,2,temporal,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.7757938575549393,
H100,expert,2,temporal,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9455620683625067,
H100,expert,2,temporal,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8944791180581999,
H100,expert,2,temporal,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6959800406488009,
H100,expert,2,temporal,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9152512871177043,
H100,expert,2,temporal,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9462894753829416,
H100,expert,2,temporal,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9385623329929025,
H100,expert,3,all,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.30231782137402424,
H100,expert,3,all,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.8810180979786649,
H100,expert,3,all,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.09094307619995537,
H100,expert,3,all,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.06270832547985714,
H100,expert,3,all,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7952010185116566,
H100,expert,3,all,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.03842829394060977,
H100,expert,3,all,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6201650426890273,
H100,expert,3,all,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.4672670706168949,
H100,expert,3,all,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.48313379587624117,
H100,expert,3,all,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9135535664629956,
H100,expert,3,all,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9075800344859954,
H100,expert,3,all,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.86169260681155,
H100,expert,3,all,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6228568186239107,
H100,expert,3,all,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8071681097724662,
H100,expert,3,all,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.5820288899426131,
