Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_copyBuffer.kd",4,0,0,498107,498107,512,512,0,0,16,0,32,64,0x155546dff480,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344899850342675,344899868846618,344899868849298,344899868886608
1,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,1,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65674.0000000000,61502.0000000000,4172.0000000000,525.2500000000,2.0000000000,344899870312850,344899870598969,344899870652250,344899870653373
2,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,2,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4258.0000000000,64.0000000000,4194.0000000000,526.7500000000,2.0000000000,344899870588352,344899870831851,344899870903452,344899871021076
3,"__amd_rocclr_copyBuffer.kd",4,0,4,498107,498107,512,512,0,0,16,0,32,64,0x155546dff380,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344899871035456,344899871549366,344899871551966,344899871552100
4,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,5,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899871750552,344899872177930,344899872227851,344899872229345
5,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,6,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4254.0000000000,64.0000000000,4190.0000000000,527.7500000000,2.0000000000,344899872168205,344899872429092,344899872495533,344899872565048
6,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,7,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899872418277,344899873045416,344899873095617,344899873096003
7,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,8,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4255.0000000000,63.0000000000,4192.0000000000,528.2500000000,2.0000000000,344899873035952,344899873303458,344899873371379,344899873435375
8,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,9,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,65600.0000000000,65536.0000000000,32.0000000000,65678.0000000000,61502.0000000000,4176.0000000000,525.7500000000,2.0000000000,344899873293304,344899873901222,344899873951663,344899873952700
9,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,10,498107,498107,256,128,0,0,12,4,32,64,0x0,0x155555358f00,16448.0000000000,4096.0000000000,32.0000000000,4254.0000000000,64.0000000000,4190.0000000000,527.1250000000,2.0000000000,344899873891069,344899874144344,344899874214425,344899874304153
