Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_copyBuffer.kd",4,0,0,496647,496647,512,512,0,0,16,0,32,64,0x155546dff480,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344873742075571,344873761149099,344873761151939,344873761194279
1,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,1,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4234.0000000000,62.0000000000,4172.0000000000,525.2500000000,2.0000000000,344873762702112,344873762991469,344873763054430,344873763055065
2,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,2,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4128.0000000000,32.0000000000,4266.0000000000,94.0000000000,4172.0000000000,525.2500000000,2.0000000000,344873762981154,344873763282911,344873763316871,344873763467978
3,"__amd_rocclr_copyBuffer.kd",4,0,4,496647,496647,512,512,0,0,16,0,32,64,0x155546dff380,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344873763476748,344873764031375,344873764034215,344873764034003
4,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,5,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873764461036,344873764766940,344873764812660,344873764813229
5,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,6,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4256.0000000000,32.0000000000,4372.0000000000,192.0000000000,4180.0000000000,526.2500000000,2.0000000000,344873764754789,344873765041541,344873765076222,344873765179592
6,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,7,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873765029211,344873765631705,344873765677465,344873765677867
7,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,8,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4192.0000000000,32.0000000000,4374.0000000000,192.0000000000,4182.0000000000,527.0000000000,2.0000000000,344873765620266,344873765892186,344873765926947,344873766038659
8,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,9,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873765881158,344873766591041,344873766636481,344873766635864
9,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,10,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4160.0000000000,32.0000000000,4436.0000000000,256.0000000000,4180.0000000000,526.1250000000,2.0000000000,344873766579724,344873766856882,344873766890882,344873767010807
10,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,11,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873766844826,344873767546286,344873767592766,344873767591582
11,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,12,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4288.0000000000,32.0000000000,4313.0000000000,127.0000000000,4186.0000000000,526.7500000000,2.0000000000,344873767534612,344873767820088,344873767854648,344873767954825
12,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,13,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873767810224,344873768429571,344873768475172,344873768475050
13,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,14,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4256.0000000000,32.0000000000,4408.0000000000,224.0000000000,4184.0000000000,527.1250000000,2.0000000000,344873768418809,344873768696693,344873768731453,344873768845763
14,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,17,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873768873313,344873769421077,344873769466438,344873769467098
15,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,18,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4192.0000000000,32.0000000000,4440.0000000000,256.0000000000,4184.0000000000,526.5000000000,2.0000000000,344873769409027,344873769692279,344873769726639,344873769819051
16,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,19,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873769680489,344873770295282,344873770340883,344873770341295
17,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,20,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4224.0000000000,32.0000000000,4378.0000000000,192.0000000000,4186.0000000000,527.0000000000,2.0000000000,344873770284924,344873770570964,344873770605564,344873770706838
18,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,21,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873770559767,344873771162568,344873771208168,344873771207862
19,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,22,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4288.0000000000,32.0000000000,4410.0000000000,224.0000000000,4186.0000000000,526.1250000000,2.0000000000,344873771152322,344873771427329,344873771461729,344873771582485
20,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,23,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873771416514,344873772036773,344873772083013,344873772084439
21,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,24,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4192.0000000000,32.0000000000,4410.0000000000,224.0000000000,4186.0000000000,526.8750000000,2.0000000000,344873772025949,344873772302214,344873772336695,344873772454662
22,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,27,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873772459552,344873773016049,344873773061729,344873773062468
23,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,28,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4224.0000000000,32.0000000000,4412.0000000000,224.0000000000,4188.0000000000,526.7500000000,2.0000000000,344873773007507,344873773313090,344873773347611,344873773447041
24,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,29,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873773301390,344873773916654,344873773962614,344873773963115
25,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,30,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4224.0000000000,32.0000000000,4438.0000000000,256.0000000000,4182.0000000000,526.7500000000,2.0000000000,344873773905425,344873774196936,344873774231616,344873774332908
26,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,31,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873774186637,344873774890760,344873774936600,344873774937593
27,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,32,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4128.0000000000,32.0000000000,4374.0000000000,192.0000000000,4182.0000000000,526.3750000000,2.0000000000,344873774878993,344873775201522,344873775235002,344873775305166
28,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,33,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873775189275,344873775903766,344873775949526,344873775949711
29,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,34,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4128.0000000000,32.0000000000,4311.0000000000,127.0000000000,4184.0000000000,526.7500000000,2.0000000000,344873775892341,344873776243208,344873776277328,344873776332875
30,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,37,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873776389555,344873776968072,344873777014152,344873777015950
31,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,38,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4128.0000000000,32.0000000000,4408.0000000000,224.0000000000,4184.0000000000,526.1250000000,2.0000000000,344873776955390,344873777317874,344873777351714,344873777417674
32,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,39,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873777306493,344873777965838,344873778011758,344873778012878
33,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,40,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4128.0000000000,32.0000000000,4410.0000000000,224.0000000000,4186.0000000000,527.0000000000,2.0000000000,344873777955078,344873778312840,344873778347120,344873778395922
34,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,41,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873778301971,344873778999204,344873779044684,344873779045527
35,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,42,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4256.0000000000,32.0000000000,4408.0000000000,224.0000000000,4184.0000000000,526.7500000000,2.0000000000,344873778988666,344873779279926,344873779314326,344873779407450
36,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,43,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873779269079,344873779868729,344873779914969,344873779914334
37,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,44,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4224.0000000000,32.0000000000,4376.0000000000,192.0000000000,4184.0000000000,526.7500000000,2.0000000000,344873779858074,344873780136051,344873780170811,344873780296137
38,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,47,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873780280937,344873780775735,344873780821855,344873780822042
39,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,48,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4128.0000000000,32.0000000000,4374.0000000000,192.0000000000,4182.0000000000,527.0000000000,2.0000000000,344873780765041,344873781076376,344873781110937,344873781185254
40,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,49,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873781066604,344873781690380,344873781736540,344873781736019
41,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,50,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4224.0000000000,32.0000000000,4404.0000000000,224.0000000000,4180.0000000000,526.8750000000,2.0000000000,344873781679759,344873781971742,344873782006422,344873782138752
42,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,51,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873781960831,344873782605425,344873782651306,344873782651017
43,"atax_y_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,52,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358f00,32832.0000000000,4224.0000000000,32.0000000000,4340.0000000000,159.0000000000,4181.0000000000,526.7500000000,2.0000000000,344873782595166,344873782873507,344873782908027,344873783051420
44,"atax_tmp_kernel(double const*, double const*, double*, unsigned int) [clone .kd]",4,0,53,496647,496647,256,128,0,0,12,4,32,64,0x0,0x155555358ec0,16448.0000000000,4096.0000000000,32.0000000000,4238.0000000000,62.0000000000,4176.0000000000,525.7500000000,2.0000000000,344873782863828,344873783606691,344873783652092,344873783652855
