Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,1,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78581.0000000000,37541.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344894487965159,344894506962077,344894507060557,344894507076137
1,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,3,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78616.0000000000,37575.0000000000,41041.0000000000,5134.7500000000,512.0000000000,344894507403640,344894507880372,344894507954373,344894507953904
2,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,4,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,71272.0000000000,8192.0000000000,80444.0000000000,39370.0000000000,41074.0000000000,5140.0000000000,512.0000000000,344894507868244,344894508193934,344894508268655,344894508315507
3,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,5,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78633.0000000000,37592.0000000000,41041.0000000000,5134.7500000000,512.0000000000,344894508184736,344894508833899,344894508907339,344894508908042
4,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,6,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,71054.0000000000,8192.0000000000,80856.0000000000,39780.0000000000,41076.0000000000,5140.5000000000,512.0000000000,344894508823832,344894509106141,344894509179941,344894509268755
5,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,7,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78667.0000000000,37626.0000000000,41041.0000000000,5134.7500000000,512.0000000000,344894509098854,344894509723865,344894509797706,344894509797240
6,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,10,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78639.0000000000,37609.0000000000,41030.0000000000,5134.7500000000,512.0000000000,344894509934641,344894510461490,344894510534771,344894510535816
7,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,11,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,70818.0000000000,8192.0000000000,80847.0000000000,39770.0000000000,41077.0000000000,5140.6250000000,512.0000000000,344894510451075,344894510695532,344894510772572,344894510905439
8,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,12,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78582.0000000000,37541.0000000000,41041.0000000000,5134.7500000000,512.0000000000,344894510688797,344894511364857,344894511438457,344894511438423
9,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,13,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,71340.0000000000,8192.0000000000,80578.0000000000,39508.0000000000,41070.0000000000,5140.1250000000,512.0000000000,344894511354802,344894511603538,344894511680859,344894511803266
10,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,16,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78649.0000000000,37609.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344894511808536,344894512332613,344894512406294,344894512406621
11,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,17,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,71036.0000000000,8192.0000000000,80486.0000000000,39415.0000000000,41071.0000000000,5139.7500000000,512.0000000000,344894512321100,344894512576255,344894512653056,344894512773174
12,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,18,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78633.0000000000,37592.0000000000,41041.0000000000,5134.7500000000,512.0000000000,344894512569452,344894513201939,344894513275820,344894513277608
13,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,19,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,70896.0000000000,8192.0000000000,80768.0000000000,39696.0000000000,41072.0000000000,5140.3750000000,512.0000000000,344894513191968,344894513437021,344894513514422,344894513633381
14,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,22,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78673.0000000000,37643.0000000000,41030.0000000000,5134.7500000000,512.0000000000,344894513636341,344894514197826,344894514271667,344894514271836
15,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,23,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,70880.0000000000,8192.0000000000,80816.0000000000,39742.0000000000,41074.0000000000,5140.5000000000,512.0000000000,344894514187636,344894514430428,344894514507069,344894514627609
16,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,24,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78588.0000000000,37558.0000000000,41030.0000000000,5134.7500000000,512.0000000000,344894514423668,344894515164093,344894515238014,344894515238314
17,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,25,497815,497815,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,70918.0000000000,8192.0000000000,80741.0000000000,39666.0000000000,41075.0000000000,5140.2500000000,512.0000000000,344894515153484,344894515401775,344894515478695,344894515620068
