Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,1,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78634.0000000000,37592.0000000000,41042.0000000000,5134.7500000000,512.0000000000,344884241857433,344884260725710,344884260829270,344884260847820
1,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,3,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78615.0000000000,37575.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344884261184492,344884261690842,344884261763642,344884261765967
2,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,4,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69737.0000000000,8192.0000000000,78841.0000000000,37778.0000000000,41063.0000000000,5138.7500000000,512.0000000000,344884261679276,344884261939683,344884262015883,344884262145540
3,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,5,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78649.0000000000,37609.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344884261933939,344884262602285,344884262674685,344884262674065
4,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,6,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69782.0000000000,8192.0000000000,78843.0000000000,37763.0000000000,41080.0000000000,5140.5000000000,512.0000000000,344884262593054,344884262847605,344884262923965,344884263038318
5,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,7,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78614.0000000000,37575.0000000000,41039.0000000000,5134.7500000000,512.0000000000,344884262841766,344884263505127,344884263577887,344884263577353
6,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,10,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78615.0000000000,37575.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344884263722794,344884264254649,344884264327010,344884264327399
7,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,11,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69718.0000000000,8192.0000000000,78849.0000000000,37776.0000000000,41073.0000000000,5140.7500000000,512.0000000000,344884264244898,344884264491930,344884264568210,344884264697082
8,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,12,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78666.0000000000,37626.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344884264485470,344884265239282,344884265311962,344884265312157
9,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,13,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69729.0000000000,8192.0000000000,78815.0000000000,37746.0000000000,41069.0000000000,5140.7500000000,512.0000000000,344884265228946,344884265493963,344884265570363,344884265698060
10,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,16,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78632.0000000000,37592.0000000000,41040.0000000000,5134.7500000000,512.0000000000,344884265702050,344884266248325,344884266320525,344884266319685
11,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,17,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69719.0000000000,8192.0000000000,78751.0000000000,37685.0000000000,41066.0000000000,5138.6250000000,512.0000000000,344884266237504,344884266482166,344884266558326,344884266688378
12,"gemm_kernel(double*, double const*, double const*, double, double, unsigned int) [clone .kd]",4,0,18,497231,497231,65536,1024,0,0,20,4,32,64,0x0,0x155555358940,8421376.0000000000,69632.0000000000,8192.0000000000,78617.0000000000,37575.0000000000,41042.0000000000,5134.7500000000,512.0000000000,344884266476146,344884267156248,344884267229208,344884267228643
