Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_copyBuffer.kd",4,0,1,497523,497523,512,512,0,0,16,0,32,64,0x155546dff400,0x155555363600,64.0000000000,16.0000000000,32.0000000000,81.0000000000,24.0000000000,57.0000000000,6.3750000000,2.0000000000,344889397181307,344889416468387,344889416470947,344889416509927
1,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,2,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1037.7500000000,2.0000000000,344889417902848,344889418249126,344889418334207,344889418334932
2,"__amd_rocclr_copyBuffer.kd",4,0,4,497523,497523,512,512,0,0,16,0,32,64,0x155546dff300,0x155555363600,64.0000000000,16.0000000000,32.0000000000,94.0000000000,24.0000000000,70.0000000000,6.3750000000,2.0000000000,344889418454823,344889419013081,344889419015521,344889419016287
3,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,5,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889419052518,344889419328602,344889419401923,344889419424481
4,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,6,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131248.0000000000,122948.0000000000,8300.0000000000,1040.7500000000,2.0000000000,344889419319390,344889419712205,344889419788085,344889419803314
5,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,7,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131227.0000000000,122944.0000000000,8283.0000000000,1038.2500000000,2.0000000000,344889419702613,344889420225168,344889420294248,344889420294868
6,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,8,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131242.0000000000,122948.0000000000,8294.0000000000,1039.5000000000,2.0000000000,344889420219937,344889420506529,344889420577010,344889420621171
7,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,9,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889420498860,344889421105493,344889421178933,344889421180765
8,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,12,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889421301296,344889421835227,344889421906107,344889421905761
9,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,13,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131238.0000000000,122948.0000000000,8290.0000000000,1039.5000000000,2.0000000000,344889421825201,344889422068468,344889422141628,344889422261874
10,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,14,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889422060112,344889422704472,344889422773552,344889422774138
11,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,15,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131229.0000000000,122946.0000000000,8283.0000000000,1040.5000000000,2.0000000000,344889422694918,344889422966913,344889423042234,344889423129651
12,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,18,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889423155561,344889423676717,344889423748518,344889423748496
13,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,19,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131238.0000000000,122948.0000000000,8290.0000000000,1040.0000000000,2.0000000000,344889423665076,344889423911678,344889423986519,344889424096009
14,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,20,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889423903568,344889424642413,344889424712133,344889424712294
15,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,21,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131232.0000000000,122948.0000000000,8284.0000000000,1039.5000000000,2.0000000000,344889424633034,344889424871974,344889424949134,344889425064097
16,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,24,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889425066067,344889425606728,344889425679328,344889425680272
17,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,25,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131238.0000000000,122948.0000000000,8290.0000000000,1040.7500000000,2.0000000000,344889425596562,344889425847169,344889425922770,344889426021785
18,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,26,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889425839254,344889426453493,344889426524253,344889426524629
19,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,27,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131246.0000000000,122948.0000000000,8298.0000000000,1040.2500000000,2.0000000000,344889426445349,344889426687414,344889426765655,344889426885143
20,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,30,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889426879562,344889427339618,344889427413298,344889427415087
21,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,31,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131238.0000000000,122948.0000000000,8290.0000000000,1040.2500000000,2.0000000000,344889427331626,344889427613819,344889427690660,344889427791150
22,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,32,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131228.0000000000,122944.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344889427607539,344889428241943,344889428313623,344889428314004
23,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,33,497523,497523,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,131136.0000000000,131072.0000000000,32.0000000000,131238.0000000000,122948.0000000000,8290.0000000000,1039.5000000000,2.0000000000,344889428233494,344889428519705,344889428589585,344889428667927
