Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_copyBuffer.kd",4,0,1,496939,496939,512,512,0,0,16,0,32,64,0x155546dff400,0x155555363600,64.0000000000,16.0000000000,32.0000000000,81.0000000000,24.0000000000,57.0000000000,6.3750000000,2.0000000000,344878857249323,344878873505388,344878873507908,344878873543058
1,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,2,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1037.7500000000,2.0000000000,344878874770648,344878875034275,344878875136275,344878875137711
2,"__amd_rocclr_copyBuffer.kd",4,0,4,496939,496939,512,512,0,0,16,0,32,64,0x155546dff300,0x155555363600,64.0000000000,16.0000000000,32.0000000000,94.0000000000,24.0000000000,70.0000000000,6.3750000000,2.0000000000,344878875250172,344878875744958,344878875747718,344878875747336
3,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,5,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878875803327,344878876251401,344878876321481,344878876321891
4,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,6,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8356.0000000000,68.0000000000,8288.0000000000,1040.7500000000,2.0000000000,344878876243241,344878876508602,344878876579282,344878876626314
5,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,7,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878876498143,344878877080965,344878877152045,344878877152768
6,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,8,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8360.0000000000,68.0000000000,8292.0000000000,1040.7500000000,2.0000000000,344878877072407,344878877327846,344878877399006,344878877461061
7,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,9,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878877317279,344878877872009,344878877942329,344878877942625
8,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,12,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878878062596,344878878531142,344878878601502,344878878602300
9,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,13,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8358.0000000000,68.0000000000,8290.0000000000,1040.0000000000,2.0000000000,344878878521659,344878878760263,344878878832783,344878878938753
10,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,14,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878878751881,344878879456496,344878879526617,344878879528588
11,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,15,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8358.0000000000,68.0000000000,8290.0000000000,1040.0000000000,2.0000000000,344878879446907,344878879740698,344878879812578,344878879851200
12,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,18,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878879917201,344878880390061,344878880460661,344878880460975
13,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,19,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8356.0000000000,68.0000000000,8288.0000000000,1040.1250000000,2.0000000000,344878880378595,344878880632622,344878880702142,344878880783908
14,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,20,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878880623107,344878881172945,344878881243305,344878881244452
15,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,21,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8368.0000000000,68.0000000000,8300.0000000000,1040.7500000000,2.0000000000,344878881165231,344878881404506,344878881479466,344878881570165
16,"gesummv_kernel(double const*, double const*, double const*, double*, double, double, unsigned int) [clone .kd]",4,0,24,496939,496939,256,128,0,0,16,0,32,64,0x0,0x1555553589c0,32832.0000000000,8192.0000000000,32.0000000000,8348.0000000000,64.0000000000,8284.0000000000,1038.2500000000,2.0000000000,344878881592045,344878882089989,344878882160949,344878882161060
