Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_copyBuffer.kd",4,0,0,498691,498691,512,512,0,0,16,0,32,64,0x155546dff480,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344909975647480,344909994520717,344909994523517,344909994579027
1,"__amd_rocclr_copyBuffer.kd",4,0,1,498691,498691,512,512,0,0,16,0,32,64,0x155546dff400,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344909994592227,344909994877919,344909994880639,344909995064151
2,"__amd_rocclr_copyBuffer.kd",4,0,2,498691,498691,512,512,0,0,16,0,32,64,0x155546dff380,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344909995073051,344909995662865,344909995665585,344909995665326
3,"__amd_rocclr_copyBuffer.kd",4,0,3,498691,498691,512,512,0,0,16,0,32,64,0x155546dff300,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344909995673936,344909995973067,344909995975827,344909996070739
4,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,4,498691,498691,256,128,0,0,20,4,32,64,0x0,0x155555358a00,82176.0000000000,69152.0000000000,64.0000000000,69394.0000000000,63122.0000000000,6272.0000000000,794.2500000000,4.0000000000,344909997536431,344909997837652,344909997979373,344909997979465
5,"__amd_rocclr_copyBuffer.kd",4,0,6,498691,498691,512,512,0,0,16,0,32,64,0x155546dff200,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344909998099696,344909998655938,344909998658578,344909998658131
6,"__amd_rocclr_copyBuffer.kd",4,0,7,498691,498691,512,512,0,0,16,0,32,64,0x155546dff180,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344909998666051,344909998942780,344909998944980,344909999045414
7,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,8,498691,498691,256,128,0,0,20,4,32,64,0x0,0x155555358a00,82176.0000000000,69152.0000000000,64.0000000000,69423.0000000000,63147.0000000000,6276.0000000000,794.7500000000,4.0000000000,344909999093714,344909999589435,344909999679636,344909999679909
8,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,9,498691,498691,256,128,0,0,20,4,32,64,0x0,0x155555358a00,82176.0000000000,69184.0000000000,64.0000000000,69446.0000000000,63160.0000000000,6286.0000000000,795.7500000000,4.0000000000,344909999578598,344909999838837,344909999933238,344910000080802
9,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,10,498691,498691,256,128,0,0,20,4,32,64,0x0,0x155555358a00,82176.0000000000,69152.0000000000,64.0000000000,69398.0000000000,63122.0000000000,6276.0000000000,794.7500000000,4.0000000000,344909999829470,344910000632113,344910000722674,344910000721168
10,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,11,498691,498691,256,128,0,0,20,4,32,64,0x0,0x155555358a00,82176.0000000000,69190.0000000000,64.0000000000,69421.0000000000,63137.0000000000,6284.0000000000,794.8750000000,4.0000000000,344910000620337,344910000885755,344910000979836,344910001083591
11,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,12,498691,498691,256,128,0,0,20,4,32,64,0x0,0x155555358a00,82176.0000000000,69177.0000000000,64.0000000000,69398.0000000000,63122.0000000000,6276.0000000000,794.7500000000,4.0000000000,344910000876209,344910001698511,344910001789032,344910001789046
