Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_copyBuffer.kd",4,0,0,496063,496063,512,512,0,0,16,0,32,64,0x155546dff480,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344863246178089,344863271426929,344863271430369,344863271483859
1,"__amd_rocclr_copyBuffer.kd",4,0,1,496063,496063,512,512,0,0,16,0,32,64,0x155546dff400,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344863271497459,344863271787049,344863271790049,344863272095722
2,"__amd_rocclr_copyBuffer.kd",4,0,2,496063,496063,512,512,0,0,16,0,32,64,0x155546dff380,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344863272105252,344863272686001,344863272688841,344863272688894
3,"__amd_rocclr_copyBuffer.kd",4,0,3,496063,496063,512,512,0,0,16,0,32,64,0x155546dff300,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344863272696344,344863272968362,344863272970722,344863273066906
4,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,4,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37011.0000000000,64.0000000000,37212.0000000000,30940.0000000000,6272.0000000000,794.2500000000,4.0000000000,344863274523223,344863274816837,344863274898917,344863274900665
5,"__amd_rocclr_copyBuffer.kd",4,0,6,496063,496063,512,512,0,0,16,0,32,64,0x155546dff200,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344863275018475,344863275573219,344863275575939,344863275576208
6,"__amd_rocclr_copyBuffer.kd",4,0,7,496063,496063,512,512,0,0,16,0,32,64,0x155546dff180,0x155555363600,64.0000000000,16.0000000000,32.0000000000,83.0000000000,24.0000000000,59.0000000000,6.3750000000,2.0000000000,344863275582558,344863275858299,344863275860499,344863275947160
7,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,8,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36970.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863275994740,344863276521411,344863276585691,344863276586613
8,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,9,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37018.0000000000,64.0000000000,37306.0000000000,31020.0000000000,6286.0000000000,796.7500000000,4.0000000000,344863276511152,344863276795812,344863276861092,344863276984295
9,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,10,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36970.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863276786124,344863277438693,344863277503453,344863277503107
