Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,0,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74485.0000000000,45733.0000000000,28752.0000000000,3598.7500000000,512.0000000000,344868498527290,344868519275179,344868519433499,344868519452099
1,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,3,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74485.0000000000,45733.0000000000,28752.0000000000,3598.7500000000,512.0000000000,344868519763070,344868520283520,344868520441561,344868520442583
2,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,4,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,66872.0000000000,8192.0000000000,78434.0000000000,49658.0000000000,28776.0000000000,3602.7500000000,512.0000000000,344868520272563,344868520552321,344868520713921,344868520860775
3,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,5,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69448.0000000000,8192.0000000000,80812.0000000000,52017.0000000000,28795.0000000000,3604.5000000000,512.0000000000,344868520517294,344868521020082,344868521178562,344868521180607
4,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,6,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,70812.0000000000,8192.0000000000,74535.0000000000,45784.0000000000,28751.0000000000,3604.8750000000,512.0000000000,344868521011026,344868521402523,344868521563043,344868521564479
5,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,7,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69444.0000000000,8192.0000000000,80640.0000000000,51854.0000000000,28786.0000000000,3604.7500000000,512.0000000000,344868521396168,344868521804844,344868521964924,344868521966151
6,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,10,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74552.0000000000,45801.0000000000,28751.0000000000,3598.7500000000,512.0000000000,344868522106741,344868522592936,344868522750616,344868522750324
7,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,11,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,66858.0000000000,8192.0000000000,77923.0000000000,49140.0000000000,28783.0000000000,3602.7500000000,512.0000000000,344868522580804,344868522861096,344868523021937,344868523164876
8,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,12,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69448.0000000000,8192.0000000000,80789.0000000000,51988.0000000000,28801.0000000000,3604.5000000000,512.0000000000,344868522831925,344868523335217,344868523493578,344868523495438
9,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,13,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,71902.0000000000,8192.0000000000,74519.0000000000,45767.0000000000,28752.0000000000,3605.2500000000,512.0000000000,344868523325187,344868523716538,344868523876899,344868523877710
10,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,16,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74535.0000000000,45784.0000000000,28751.0000000000,3598.7500000000,512.0000000000,344868523997841,344868524507890,344868524665650,344868524665874
11,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,17,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,68066.0000000000,8192.0000000000,78117.0000000000,49338.0000000000,28779.0000000000,3603.5000000000,512.0000000000,344868524495673,344868524776651,344868524938451,344868525057676
12,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,18,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,70856.0000000000,8192.0000000000,81531.0000000000,52731.0000000000,28800.0000000000,3605.1250000000,512.0000000000,344868524730364,344868525226212,344868525385012,344868525385517
13,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,19,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,70552.0000000000,8192.0000000000,74552.0000000000,45801.0000000000,28751.0000000000,3604.6250000000,512.0000000000,344868525217396,344868525653973,344868525812653,344868525814859
14,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,22,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74577.0000000000,45835.0000000000,28742.0000000000,3598.7500000000,512.0000000000,344868525931070,344868526455345,344868526613105,344868526614673
15,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,23,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,66240.0000000000,8192.0000000000,78293.0000000000,49514.0000000000,28779.0000000000,3603.7500000000,512.0000000000,344868526444232,344868526723505,344868526884626,344868527032385
16,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,24,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69432.0000000000,8192.0000000000,82637.0000000000,53834.0000000000,28803.0000000000,3605.1250000000,512.0000000000,344868526691913,344868527197906,344868527355547,344868527356456
17,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,25,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,70242.0000000000,8192.0000000000,74501.0000000000,45750.0000000000,28751.0000000000,3598.7500000000,512.0000000000,344868527187726,344868527583747,344868527744268,344868527743978
18,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,28,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74543.0000000000,45801.0000000000,28742.0000000000,3598.7500000000,512.0000000000,344868527862189,344868528378149,344868528536029,344868528536532
19,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,29,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69430.0000000000,8192.0000000000,78295.0000000000,49518.0000000000,28777.0000000000,3602.7500000000,512.0000000000,344868528366481,344868528646350,344868528808110,344868528888864
20,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,30,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69432.0000000000,8192.0000000000,78198.0000000000,49408.0000000000,28790.0000000000,3605.8750000000,512.0000000000,344868528632472,344868529098511,344868529257111,344868529258035
21,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,31,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,72680.0000000000,8192.0000000000,75275.0000000000,46526.0000000000,28749.0000000000,3600.6250000000,512.0000000000,344868529089275,344868529470792,344868529631432,344868529631697
22,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,34,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,65536.0000000000,8192.0000000000,74560.0000000000,45818.0000000000,28742.0000000000,3598.7500000000,512.0000000000,344868529748138,344868530258523,344868530416484,344868530418721
23,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,35,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,67470.0000000000,8192.0000000000,78513.0000000000,49734.0000000000,28779.0000000000,3602.7500000000,512.0000000000,344868530246890,344868530530204,344868530691724,344868530821463
24,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,36,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,69040.0000000000,8192.0000000000,82299.0000000000,53498.0000000000,28801.0000000000,3605.6250000000,512.0000000000,344868530490311,344868530994245,344868531152445,344868531154964
25,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,37,496355,496355,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,21004288.0000000000,71240.0000000000,8192.0000000000,74484.0000000000,45733.0000000000,28751.0000000000,3598.7500000000,512.0000000000,344868530983713,344868531412806,344868531571326,344868531572986
