Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,0,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65536.0000000000,8192.0000000000,74521.0000000000,45767.0000000000,28754.0000000000,3598.7500000000,512.0000000000,344904938595144,344904957124207,344904957231248,344904957258339
1,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,3,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65536.0000000000,8192.0000000000,74487.0000000000,45733.0000000000,28754.0000000000,3598.7500000000,512.0000000000,344904957575081,344904958209547,344904958281308,344904958281817
2,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,4,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65618.0000000000,8192.0000000000,74706.0000000000,45934.0000000000,28772.0000000000,3601.7500000000,512.0000000000,344904958197096,344904958446469,344904958521630,344904958664020
3,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,5,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65536.0000000000,8192.0000000000,74519.0000000000,45767.0000000000,28752.0000000000,3598.7500000000,512.0000000000,344904958439268,344904959125956,344904959197477,344904959195954
4,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,6,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65633.0000000000,8192.0000000000,74630.0000000000,45851.0000000000,28779.0000000000,3603.6250000000,512.0000000000,344904959115274,344904959365638,344904959440799,344904959570378
5,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,7,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65536.0000000000,8192.0000000000,74537.0000000000,45784.0000000000,28753.0000000000,3598.7500000000,512.0000000000,344904959357846,344904960121756,344904960193476,344904960191733
6,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,10,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65536.0000000000,8192.0000000000,74537.0000000000,45784.0000000000,28753.0000000000,3598.7500000000,512.0000000000,344904960336324,344904960872543,344904960944064,344904960942179
7,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,11,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65582.0000000000,8192.0000000000,74791.0000000000,46009.0000000000,28782.0000000000,3602.5000000000,512.0000000000,344904960861038,344904961103145,344904961177826,344904961321022
8,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,12,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65536.0000000000,8192.0000000000,74487.0000000000,45733.0000000000,28754.0000000000,3598.7500000000,512.0000000000,344904961096390,344904961769872,344904961841392,344904961841186
9,"syrk_kernel(double*, double const*, double, double, unsigned int) [clone .kd]",4,0,13,498399,498399,65536,1024,0,0,20,4,32,64,0x0,0x1555553588c0,8421376.0000000000,65619.0000000000,8192.0000000000,74703.0000000000,45918.0000000000,28785.0000000000,3602.1250000000,512.0000000000,344904961758316,344904961999474,344904962074595,344904962226539
