Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,TCP_TOTAL_READ_sum,TCC_READ_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"softmax_bias_kernel.kd",4,0,2,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553aa0b45c0,49152.0000000000,16384.0000000000,16384.0000000000,35316.0000000000,10646.0000000000,24670.0000000000,131072.0000000000,18932.0000000000,2067.2500000000,1024.0000000000,707860975603599,707860997887647,707860997890967,707860997929867
16,"softmax_bias_kernel.kd",4,0,20,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95905c0,49152.0000000000,16384.0000000000,16384.0000000000,35323.0000000000,10646.0000000000,24677.0000000000,131072.0000000000,18928.0000000000,2066.7500000000,1024.0000000000,707861301743050,707861302133734,707861302136414,707861302145064
32,"softmax_bias_kernel.kd",4,0,39,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18928.0000000000,2067.1250000000,1024.0000000000,707862286546108,707862287052722,707862287055402,707862287088152
48,"softmax_bias_kernel.kd",4,0,57,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35300.0000000000,12182.0000000000,23118.0000000000,131072.0000000000,18916.0000000000,2065.2500000000,1024.0000000000,707862308485843,707862308918703,707862308921383,707862308930517
49,"softmax_bias_kernel.kd",4,0,58,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35327.0000000000,10646.0000000000,24681.0000000000,131072.0000000000,18932.0000000000,2067.2500000000,1024.0000000000,707862308954107,707862309635789,707862309638549,707862309642683
50,"softmax_bias_kernel.kd",4,0,59,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18933.0000000000,2067.2500000000,1024.0000000000,707862309672113,707862310269094,707862310271854,707862310274758
51,"softmax_bias_kernel.kd",4,0,60,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18933.0000000000,2067.2500000000,1024.0000000000,707862310299928,707862310943500,707862310946260,707862310949714
52,"softmax_bias_kernel.kd",4,0,61,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862310973894,707862311583895,707862311586695,707862311586349
53,"softmax_bias_kernel.kd",4,0,63,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35327.0000000000,10646.0000000000,24681.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862311737840,707862312408532,707862312411292,707862312415426
54,"softmax_bias_kernel.kd",4,0,64,1429271,1429271,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,49152.0000000000,16384.0000000000,16384.0000000000,35328.0000000000,10646.0000000000,24682.0000000000,131072.0000000000,18934.0000000000,2067.2500000000,1024.0000000000,707862312439126,707862313078508,707862313081268,707862313083392
