Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,TCP_TOTAL_READ_sum,TCC_READ_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
0,"softmax_bias_kernel.kd",4,0,2,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553aa0b45c0,49152.0000000000,16384.0000000000,16384.0000000000,35316.0000000000,10646.0000000000,24670.0000000000,131072.0000000000,18932.0000000000,2067.2500000000,1024.0000000000,707883436547933,707883601659034,707883601662314,707883601685884
16,"softmax_bias_kernel.kd",4,0,20,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95905c0,49152.0000000000,16384.0000000000,16384.0000000000,35323.0000000000,10646.0000000000,24677.0000000000,131072.0000000000,18928.0000000000,2066.8750000000,1024.0000000000,707883801550640,707883801913748,707883801916428,707883801921493
32,"softmax_bias_kernel.kd",4,0,39,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289296.0000000000,223638.0000000000,65658.0000000000,327680.0000000000,272885.0000000000,7189.6250000000,1024.0000000000,707884546779600,707884547279604,707884547284364,707884547307005
48,"softmax_bias_kernel.kd",4,0,57,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289252.0000000000,225174.0000000000,64078.0000000000,327680.0000000000,272868.0000000000,7185.2500000000,1024.0000000000,707884566965975,707884567430168,707884567433768,707884567441129
49,"softmax_bias_kernel.kd",4,0,58,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289297.0000000000,223638.0000000000,65659.0000000000,327680.0000000000,272884.0000000000,7190.0000000000,1024.0000000000,707884567463259,707884568121733,707884568125693,707884568125975
50,"softmax_bias_kernel.kd",4,0,59,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289302.0000000000,223638.0000000000,65664.0000000000,327680.0000000000,272885.0000000000,7190.3750000000,1024.0000000000,707884568156505,707884568759639,707884568763479,707884568762030
51,"softmax_bias_kernel.kd",4,0,60,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289300.0000000000,223638.0000000000,65662.0000000000,327680.0000000000,272884.0000000000,7190.0000000000,1024.0000000000,707884568789640,707884569190282,707884569194042,707884569348665
52,"softmax_bias_kernel.kd",4,0,61,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289304.0000000000,223638.0000000000,65666.0000000000,327680.0000000000,272884.0000000000,7189.7500000000,1024.0000000000,707884569220504,707884569931988,707884569935788,707884569934130
53,"softmax_bias_kernel.kd",4,0,63,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289302.0000000000,223638.0000000000,65664.0000000000,327680.0000000000,272884.0000000000,7189.7500000000,1024.0000000000,707884570083081,707884570843956,707884570847996,707884570855647
54,"softmax_bias_kernel.kd",4,0,64,1430087,1430087,262144,256,512,0,8,0,32,64,0x0,0x1553a95885c0,294912.0000000000,270336.0000000000,16384.0000000000,289298.0000000000,223638.0000000000,65660.0000000000,327680.0000000000,272884.0000000000,7190.1250000000,1024.0000000000,707884570872048,707884571268839,707884571272639,707884571366132
