experiment,platform,case,stratification,counter,counter_role,predictor,predictor_scope,predictor_byte_scale,relationship,observations,spearman_rho
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,J_area,,,aggregate,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,peak_normalized_excess,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g8.stream.load.32B,issue.g8.stream.load,32,counter_component,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g8.stream.load.32B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g8.stream.load.64B,issue.g8.stream.load,64,counter_scope_bytescale,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g8.stream.load.64B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g8.stream.load.128B,issue.g8.stream.load,128,counter_scope_bytescale,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g8.stream.load.128B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g8.stream.load.256B,issue.g8.stream.load,256,counter_scope_bytescale,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g8.stream.load.256B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g16.stream.load.32B,issue.g16.stream.load,32,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g16.stream.load.32B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g16.stream.load.64B,issue.g16.stream.load,64,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g16.stream.load.64B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g16.stream.load.128B,issue.g16.stream.load,128,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g16.stream.load.128B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g16.stream.load.256B,issue.g16.stream.load,256,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g16.stream.load.256B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g32.stream.load.32B,issue.g32.stream.load,32,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g32.stream.load.32B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g32.stream.load.64B,issue.g32.stream.load,64,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g32.stream.load.64B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g32.stream.load.128B,issue.g32.stream.load,128,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g32.stream.load.128B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g32.stream.load.256B,issue.g32.stream.load,256,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g32.stream.load.256B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g64.stream.load.32B,issue.g64.stream.load,32,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g64.stream.load.32B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g64.stream.load.64B,issue.g64.stream.load,64,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g64.stream.load.64B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g64.stream.load.128B,issue.g64.stream.load,128,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g64.stream.load.128B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:issue.g64.stream.load.256B,issue.g64.stream.load,256,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:issue.g64.stream.load.256B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.stream.load.32B,lane_window.t4.stream.load,32,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.stream.load.32B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.stream.load.64B,lane_window.t4.stream.load,64,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.stream.load.64B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.stream.load.128B,lane_window.t4.stream.load,128,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.stream.load.128B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.stream.load.256B,lane_window.t4.stream.load,256,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.stream.load.256B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.array.load.32B,lane_window.t4.array.load,32,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.array.load.32B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.array.load.64B,lane_window.t4.array.load,64,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.array.load.64B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.array.load.128B,lane_window.t4.array.load,128,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.array.load.128B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t4.array.load.256B,lane_window.t4.array.load,256,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t4.array.load.256B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.stream.load.32B,lane_window.t16.stream.load,32,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.stream.load.32B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.stream.load.64B,lane_window.t16.stream.load,64,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.stream.load.64B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.stream.load.128B,lane_window.t16.stream.load,128,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.stream.load.128B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.stream.load.256B,lane_window.t16.stream.load,256,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.stream.load.256B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.array.load.32B,lane_window.t16.array.load,32,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.array.load.32B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.array.load.64B,lane_window.t16.array.load,64,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.array.load.64B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.array.load.128B,lane_window.t16.array.load,128,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.array.load.128B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:lane_window.t16.array.load.256B,lane_window.t16.array.load,256,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:lane_window.t16.array.load.256B,,,diagnostic,2,
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:simd_window.t4.stream.load.32B,simd_window.t4.stream.load,32,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:simd_window.t4.stream.load.32B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:simd_window.t4.stream.load.64B,simd_window.t4.stream.load,64,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:simd_window.t4.stream.load.64B,,,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,Q:simd_window.t4.stream.load.128B,simd_window.t4.stream.load,128,diagnostic,2,1.0
1,tuolumne,softmax_bias,all,first_level_read_events,diagnostic,excess:simd_window.t4.stream.load.128B,,,diagnostic,2,1.0
