case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
bias_relu,random_layout_candidate_0ad4502a5919,mapping_98694817a22e,1,linear_inner,[256],linear,"[193, 24, 158, 204, 64, 252, 232, 136]","[193, 24, 158, 204, 64, 252, 232, 136, 256, 512]",131072.0,9,19,1,True,1179648.0,1179648.0,1179648.0,1310720.0,1310720.0,1310720.0,34856.0,34856.0,34856.0,65536.0,65536.0,65536.0,100392.0,100392.0,100392.0,102734.5,102734.5,102734.5,37203.0,37203.0,37203.0,36988.0,36988.0,36988.0,65744.0,65744.0,65744.0,4227712.0,4227712.0,4227712.0,4194304.0,4194304.0,4194304.0,8422016.0,8422016.0,8422016.0,3300.0,3300.0,3300.0,2552.2581251836614,2552.2581251836614,2552.2581251836614,36.00436086468159,36.00436086468159,36.00436086468159
bias_relu,random_layout_candidate_6530c262b5fb,mapping_ed14972e17d5,2,linear_inner,[64],linear,"[20, 45, 55, 4, 12, 58]","[20, 45, 55, 4, 12, 58, 64, 128, 256, 512]",65536.0,7,12,1,True,655360.0,655360.0,655360.0,1310720.0,1310720.0,1310720.0,34856.0,34856.0,34856.0,65536.0,65536.0,65536.0,100392.0,100392.0,100392.0,102499.5,102499.5,102499.5,36970.0,36970.0,36970.0,36762.0,36762.0,36762.0,65738.0,65738.0,65738.0,4226432.0,4226432.0,4226432.0,4194304.0,4194304.0,4194304.0,8420736.0,8420736.0,8420736.0,3360.0,3360.0,3360.0,2506.1714285714284,2506.1714285714284,2506.1714285714284,35.86484100318019,35.86484100318019,35.86484100318019
bias_relu,random_layout_candidate_0164fd79918f,mapping_3851d0b2d24a,3,linear_inner,[64],linear,"[52, 59, 34, 13, 61, 51]","[52, 59, 34, 13, 61, 51, 64, 128, 256, 512]",65536.0,7,16,1,True,393216.0,393216.0,393216.0,1310720.0,1310720.0,1310720.0,34880.0,34880.0,34880.0,65536.0,65536.0,65536.0,100416.0,100416.0,100416.0,102498.0,102498.0,102498.0,36950.0,36950.0,36950.0,36762.0,36762.0,36762.0,65737.0,65737.0,65737.0,4226240.0,4226240.0,4226240.0,4194304.0,4194304.0,4194304.0,8420544.0,8420544.0,8420544.0,3440.0,3440.0,3440.0,2447.8883720930235,2447.8883720930235,2447.8883720930235,35.865715763080615,35.865715763080615,35.865715763080615
bias_relu,random_layout_candidate_42ebe2d3c317,mapping_f876f7b098c5,4,linear_inner,[128],linear,"[87, 50, 107, 90, 67, 35, 66]","[87, 50, 107, 90, 67, 35, 66, 128, 256, 512]",131072.0,8,18,1,True,393216.0,393216.0,393216.0,1310720.0,1310720.0,1310720.0,34880.0,34880.0,34880.0,65536.0,65536.0,65536.0,100416.0,100416.0,100416.0,102732.0,102732.0,102732.0,37196.0,37196.0,37196.0,36988.0,36988.0,36988.0,65744.0,65744.0,65744.0,4227840.0,4227840.0,4227840.0,4194304.0,4194304.0,4194304.0,8422144.0,8422144.0,8422144.0,3420.0,3420.0,3420.0,2462.829658002736,2462.829658002736,2462.829658002736,36.0043608612701,36.0043608612701,36.0043608612701
bias_relu,random_layout_candidate_92246c827afe,mapping_da0b3f9e7c01,5,linear_inner,[64],linear,"[15, 1, 46, 17, 7, 45]","[15, 1, 46, 17, 7, 45, 64, 128, 256, 512]",65536.0,7,12,1,True,655360.0,655360.0,655360.0,1310720.0,1310720.0,1310720.0,34856.0,34856.0,34856.0,65536.0,65536.0,65536.0,100392.0,100392.0,100392.0,102508.5,102508.5,102508.5,36954.0,36954.0,36954.0,36762.0,36762.0,36762.0,65745.0,65745.0,65745.0,4226176.0,4226176.0,4226176.0,4194304.0,4194304.0,4194304.0,8420480.0,8420480.0,8420480.0,3240.0,3240.0,3240.0,2598.8345679012345,2598.8345679012345,2598.8345679012345,35.86344147472542,35.86344147472542,35.86344147472542
bias_relu,random_layout_candidate_65181a1cd628,mapping_7ed33b375eb3,6,linear_inner,[64],linear,"[3, 6, 50, 9, 54, 44]","[3, 6, 50, 9, 54, 44, 64, 128, 256, 512]",65536.0,7,10,1,True,655360.0,655360.0,655360.0,1310720.0,1310720.0,1310720.0,34876.0,34876.0,34876.0,65536.0,65536.0,65536.0,100412.0,100412.0,100412.0,102480.0,102480.0,102480.0,36963.0,36963.0,36963.0,36742.0,36742.0,36742.0,65738.0,65738.0,65738.0,4227072.0,4227072.0,4227072.0,4194304.0,4194304.0,4194304.0,8421376.0,8421376.0,8421376.0,3360.5,3360.5,3360.5,2505.9509443051247,2505.9509443051247,2505.9509443051247,35.85267433413702,35.85267433413702,35.85267433413702
bias_relu,random_layout_candidate_a778c7b1f603,mapping_df9387da824b,7,linear_inner,[64],linear,"[11, 45, 7, 30, 13, 46]","[11, 45, 7, 30, 13, 46, 64, 128, 256, 512]",65536.0,7,15,1,True,655360.0,655360.0,655360.0,1310720.0,1310720.0,1310720.0,34868.0,34868.0,34868.0,65536.0,65536.0,65536.0,100404.0,100404.0,100404.0,102619.5,102619.5,102619.5,37082.0,37082.0,37082.0,36882.0,36882.0,36882.0,65738.0,65738.0,65738.0,4227072.0,4227072.0,4227072.0,4194304.0,4194304.0,4194304.0,8421376.0,8421376.0,8421376.0,3240.0,3240.0,3240.0,2599.19012345679,2599.19012345679,2599.19012345679,35.940187390312424,35.940187390312424,35.940187390312424
bias_relu,random_layout_candidate_41633b45615d,mapping_3d7cda3b7716,8,linear_inner,[32],linear,"[13, 5, 1, 16, 14]","[13, 5, 1, 16, 14, 32, 64, 128, 256, 512]",65536.0,6,5,1,True,393216.0,393216.0,393216.0,1310720.0,1310720.0,1310720.0,34860.0,34860.0,34860.0,65536.0,65536.0,65536.0,100396.0,100396.0,100396.0,102372.0,102372.0,102372.0,36827.5,36827.5,36827.5,36640.0,36640.0,36640.0,65731.0,65731.0,65731.0,4225280.0,4225280.0,4225280.0,4194304.0,4194304.0,4194304.0,8419584.0,8419584.0,8419584.0,3481.0,3481.0,3481.0,2418.7624245906345,2418.7624245906345,2418.7624245906345,35.791910677373714,35.791910677373714,35.791910677373714
bias_relu,random_layout_candidate_4ea2e6743fef,mapping_aff00d0c8e8a,9,linear_inner,[32],linear,"[27, 5, 10, 16, 8]","[27, 5, 10, 16, 8, 32, 64, 128, 256, 512]",65536.0,6,5,1,True,393216.0,393216.0,393216.0,1310720.0,1310720.0,1310720.0,34872.0,34872.0,34872.0,65536.0,65536.0,65536.0,100408.0,100408.0,100408.0,102366.0,102366.0,102366.0,36837.5,36837.5,36837.5,36636.0,36636.0,36636.0,65730.0,65730.0,65730.0,4225408.0,4225408.0,4225408.0,4194304.0,4194304.0,4194304.0,8419712.0,8419712.0,8419712.0,3520.0,3520.0,3520.0,2392.0,2392.0,2392.0,35.789051975836855,35.789051975836855,35.789051975836855
bias_relu,random_layout_candidate_f112d244a3f1,mapping_5197c428ef30,10,linear_inner,[32],linear,"[20, 11, 12, 26, 21]","[20, 11, 12, 26, 21, 32, 64, 128, 256, 512]",65536.0,6,8,1,True,393216.0,393216.0,393216.0,1310720.0,1310720.0,1310720.0,34868.0,34868.0,34868.0,65536.0,65536.0,65536.0,100404.0,100404.0,100404.0,102383.5,102383.5,102383.5,36840.5,36840.5,36840.5,36652.0,36652.0,36652.0,65731.0,65731.0,65731.0,4225856.0,4225856.0,4225856.0,4194304.0,4194304.0,4194304.0,8420160.0,8420160.0,8420160.0,3280.0,3280.0,3280.0,2567.10243902439,2567.10243902439,2567.10243902439,35.79873700947101,35.79873700947101,35.79873700947101
