case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
embedding_bag,random_layout_candidate_8697efd17d98,mapping_6c1279d7a127,1,linear_inner,"[64, 128]",linear,"[776, 5065, 6548, 2052, 8087, 7452, 4362, 8050, 5776, 6637, 4930, 7390, 1203]","[49160, 323593, 417812, 131076, 516119, 475164, 278538, 512050, 368656, 421933, 315394, 471070, 73779, 64, 128, 256, 512, 1024, 2048]",2097152.0,14,69,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,2038772.0,2038772.0,2038772.0,32768.0,32768.0,32768.0,2071540.0,2071540.0,2071540.0,2083557.0,2083557.0,2083557.0,2050693.5,2050693.5,2050693.5,2013632.0,2013632.0,2013632.0,69931.0,69931.0,69931.0,6882816.0,6882816.0,6882816.0,2097152.0,2097152.0,2097152.0,8979968.0,8979968.0,8979968.0,16100.5,16100.5,16100.5,557.7375343773758,557.7375343773758,557.7375343773758,96.64378030459409,96.64378030459409,96.64378030459409
embedding_bag,random_layout_candidate_1c64b1109cec,mapping_204c04a449f7,2,linear_inner,"[4, 128]",linear,"[50, 373, 37, 460, 435, 350, 169, 241, 286]","[49154, 380929, 36865, 471040, 442371, 356354, 172033, 245761, 290818, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048]",524288.0,10,34,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,131072.0,131072.0,131072.0,32768.0,32768.0,32768.0,163840.0,163840.0,163840.0,175431.5,175431.5,175431.5,142660.5,142660.5,142660.5,108334.0,108334.0,108334.0,67100.0,67100.0,67100.0,6514048.0,6514048.0,6514048.0,2097152.0,2097152.0,2097152.0,8611200.0,8611200.0,8611200.0,8320.0,8320.0,8320.0,1035.0153846153846,1035.0153846153846,1035.0153846153846,61.75166170836837,61.75166170836837,61.75166170836837
embedding_bag,random_layout_candidate_10db670e2bd1,mapping_c1525bdf517c,3,linear_inner,"[1, 128]",linear,"[118, 69, 26, 123, 102, 77, 70]","[483328, 282624, 106496, 503808, 417792, 315392, 286720, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048]",262144.0,8,21,1,True,1081344.0,1081344.0,1081344.0,2097152.0,2097152.0,2097152.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,65536.0,65536.0,65536.0,76295.5,76295.5,76295.5,43519.0,43519.0,43519.0,22816.0,22816.0,22816.0,53479.5,53479.5,53479.5,4767488.0,4767488.0,4767488.0,2097152.0,2097152.0,2097152.0,6864640.0,6864640.0,6864640.0,6880.0,6880.0,6880.0,997.7860465116279,997.7860465116279,997.7860465116279,29.904778133677475,29.904778133677475,29.904778133677475
embedding_bag,random_layout_candidate_9ea188d24ca0,mapping_499587dfa94c,4,linear_inner,"[16, 128]",linear,"[1390, 1551, 266, 1795, 306, 1891, 79, 1725, 164, 1839, 1432]","[352270, 393231, 65546, 458755, 77826, 483331, 16399, 438285, 40964, 466959, 364552, 16, 32, 64, 128, 256, 512, 1024, 2048]",524288.0,12,50,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,524112.0,524112.0,524112.0,32768.0,32768.0,32768.0,556880.0,556880.0,556880.0,569425.0,569425.0,569425.0,536634.0,536634.0,536634.0,499518.0,499518.0,499518.0,69910.0,69910.0,69910.0,6876928.0,6876928.0,6876928.0,2097152.0,2097152.0,2097152.0,8974080.0,8974080.0,8974080.0,9880.0,9880.0,9880.0,908.2947368421053,908.2947368421053,908.2947368421053,87.72311236952896,87.72311236952896,87.72311236952896
embedding_bag,random_layout_candidate_9f444ea870fa,mapping_ce0454b1ee2f,5,linear_inner,"[64, 128]",linear,"[5566, 4831, 6760, 7780, 3435, 4748, 2254, 3691, 4035, 5408, 5252, 8161, 5736]","[352318, 307231, 430120, 495652, 217131, 303116, 143374, 233515, 258051, 344096, 335876, 520225, 364584, 64, 128, 256, 512, 1024, 2048]",2097152.0,14,76,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,974052.0,974052.0,974052.0,32768.0,32768.0,32768.0,1006820.0,1006820.0,1006820.0,1019493.0,1019493.0,1019493.0,985122.5,985122.5,985122.5,949564.0,949564.0,949564.0,69939.5,69939.5,69939.5,6883584.0,6883584.0,6883584.0,2097152.0,2097152.0,2097152.0,8980736.0,8980736.0,8980736.0,12100.0,12100.0,12100.0,742.2010359976396,742.2010359976396,742.2010359976396,93.140806231786,93.140806231786,93.140806231786
embedding_bag,random_layout_candidate_72734d5b8e40,mapping_b359045b25e0,6,linear_inner,"[64, 128]",linear,"[5992, 2220, 959, 5778, 1806, 3047, 6509, 1396, 2724, 3490, 6683, 509, 824]","[380968, 139308, 57407, 368658, 114702, 192551, 413741, 86068, 172068, 221218, 426011, 28733, 49208, 64, 128, 256, 512, 1024, 2048]",2097152.0,14,74,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,2032178.0,2032178.0,2032178.0,32768.0,32768.0,32768.0,2064946.0,2064946.0,2064946.0,2076945.5,2076945.5,2076945.5,2043834.5,2043834.5,2043834.5,2007024.0,2007024.0,2007024.0,69930.5,69930.5,69930.5,6882688.0,6882688.0,6882688.0,2097152.0,2097152.0,2097152.0,8979840.0,8979840.0,8979840.0,15520.5,15520.5,15520.5,578.5669286108545,578.5669286108545,578.5669286108545,96.63325655524777,96.63325655524777,96.63325655524777
embedding_bag,random_layout_candidate_1a35bc25c4bb,mapping_7054def36c91,7,linear_inner,"[64, 128]",linear,"[1198, 7006, 5715, 1792, 370, 6693, 4701, 5195, 7454, 7671, 4376, 4932, 5575]","[73774, 446494, 364563, 114688, 20530, 426021, 299037, 331787, 475166, 487479, 278552, 315396, 356359, 64, 128, 256, 512, 1024, 2048]",2097152.0,14,72,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,2021617.0,2021617.0,2021617.0,32768.0,32768.0,32768.0,2054385.0,2054385.0,2054385.0,2069732.0,2069732.0,2069732.0,2037672.5,2037672.5,2037672.5,1999802.0,1999802.0,1999802.0,69932.0,69932.0,69932.0,6882688.0,6882688.0,6882688.0,2097152.0,2097152.0,2097152.0,8979840.0,8979840.0,8979840.0,15280.0,15280.0,15280.0,587.6858638743455,587.6858638743455,587.6858638743455,96.62130148509806,96.62130148509806,96.62130148509806
embedding_bag,random_layout_candidate_b75e39a53e3a,mapping_49c7286be149,8,linear_inner,"[1, 128]",linear,"[4, 77, 2, 24, 123, 124, 23]","[16384, 315392, 8192, 98304, 503808, 507904, 94208, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048]",262144.0,8,16,1,True,1081344.0,1081344.0,1081344.0,2097152.0,2097152.0,2097152.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,65536.0,65536.0,65536.0,76176.0,76176.0,76176.0,43398.0,43398.0,43398.0,22702.0,22702.0,22702.0,53474.0,53474.0,53474.0,4766848.0,4766848.0,4766848.0,2097152.0,2097152.0,2097152.0,6864000.0,6864000.0,6864000.0,6880.0,6880.0,6880.0,997.6837209302325,997.6837209302325,997.6837209302325,29.80203738710355,29.80203738710355,29.80203738710355
embedding_bag,random_layout_candidate_6b8f9be7da67,mapping_e05006c178a2,9,linear_inner,"[32, 128]",linear,"[415, 3423, 1064, 286, 904, 294, 2649, 1233, 1434, 1786, 738, 250]","[49183, 434207, 135176, 32798, 114696, 36870, 335897, 155665, 180250, 225306, 94210, 28698, 32, 64, 128, 256, 512, 1024, 2048]",2097152.0,13,56,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,1628290.0,1628290.0,1628290.0,32768.0,32768.0,32768.0,1661058.0,1661058.0,1661058.0,1697361.5,1697361.5,1697361.5,1649865.0,1649865.0,1649865.0,1627448.0,1627448.0,1627448.0,69918.5,69918.5,69918.5,6878976.0,6878976.0,6878976.0,2097152.0,2097152.0,2097152.0,8976128.0,8976128.0,8976128.0,13520.0,13520.0,13520.0,663.891124260355,663.891124260355,663.891124260355,95.88101012197518,95.88101012197518,95.88101012197518
embedding_bag,random_layout_candidate_6f03d78b98ee,mapping_0ca6b8d7b12a,10,linear_inner,"[16, 128]",linear,"[1697, 1332, 165, 3, 1217, 393, 1430, 684, 327, 490, 456]","[434177, 339972, 40965, 3, 311297, 98313, 364550, 172044, 81927, 122890, 114696, 16, 32, 64, 128, 256, 512, 1024, 2048]",2097152.0,12,39,1,True,2129920.0,2129920.0,2129920.0,2097152.0,2097152.0,2097152.0,716864.0,716864.0,716864.0,32768.0,32768.0,32768.0,749632.0,749632.0,749632.0,754739.5,754739.5,754739.5,724048.5,724048.5,724048.5,684840.0,684840.0,684840.0,69892.0,69892.0,69892.0,6874112.0,6874112.0,6874112.0,2097152.0,2097152.0,2097152.0,8971264.0,8971264.0,8971264.0,9860.0,9860.0,9860.0,909.8682466014943,909.8682466014943,909.8682466014943,90.73856941621548,90.73856941621548,90.73856941621548
