case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
gemv,random_layout_candidate_71dc15eef364,mapping_be7fc7e9c054,1,linear_inner,"[64, 64]",linear,"[2465, 3695, 601, 1270, 404, 2989, 302, 3681, 3483, 2801, 1352, 1933]","[38945, 58415, 9241, 19510, 6164, 47149, 4142, 58401, 55323, 44081, 21512, 30733, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,63,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,36864.0,36864.0,36864.0,64.0,64.0,64.0,36928.0,36928.0,36928.0,38537.5,38537.5,38537.5,38369.0,38369.0,38369.0,5365.5,5365.5,5365.5,33174.0,33174.0,33174.0,4280064.0,4280064.0,4280064.0,4096.0,4096.0,4096.0,4284160.0,4284160.0,4284160.0,474924.5,474924.5,474924.5,9.019946558644586,9.019946558644586,9.019946558644586,13.918321352311263,13.918321352311263,13.918321352311263
gemv,random_layout_candidate_ea03340b7250,mapping_0a303208fda4,2,linear_inner,"[64, 16]",linear,"[488, 453, 886, 533, 266, 63, 824, 940, 561, 937]","[7208, 7173, 13366, 8213, 4106, 63, 12344, 14380, 8241, 14377, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,12,41,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,33728.0,33728.0,33728.0,64.0,64.0,64.0,33792.0,33792.0,33792.0,35459.0,35459.0,35459.0,35357.0,35357.0,35357.0,2261.0,2261.0,2261.0,33199.0,33199.0,33199.0,4278784.0,4278784.0,4278784.0,4096.0,4096.0,4096.0,4282880.0,4282880.0,4282880.0,439324.5,439324.5,439324.5,9.746250895389412,9.746250895389412,9.746250895389412,6.376018724796255,6.376018724796255,6.376018724796255
gemv,random_layout_candidate_e1c75290a60f,mapping_9eda944da0b2,3,linear_inner,"[64, 1]",linear,"[21, 52, 59, 34, 13, 61]","[21, 52, 59, 34, 13, 61, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",131072.0,8,15,1,True,524352.0,524352.0,524352.0,1048576.0,1048576.0,1048576.0,32768.0,32768.0,32768.0,64.0,64.0,64.0,32832.0,32832.0,32832.0,34411.0,34411.0,34411.0,34349.5,34349.5,34349.5,1241.5,1241.5,1241.5,33169.0,33169.0,33169.0,4277248.0,4277248.0,4277248.0,4096.0,4096.0,4096.0,4281344.0,4281344.0,4281344.0,480504.5,480504.5,480504.5,8.910225698849736,8.910225698849736,8.910225698849736,3.6078578801353283,3.6078578801353283,3.6078578801353283
gemv,random_layout_candidate_286766ba48e3,mapping_6c99628efad5,4,linear_inner,"[64, 64]",linear,"[2470, 2241, 2406, 1178, 1822, 375, 2442, 3268, 1576, 1298, 2357, 991]","[38950, 35841, 37926, 18458, 28702, 5175, 38922, 52228, 24616, 20498, 36917, 15391, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,56,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,36672.0,36672.0,36672.0,64.0,64.0,64.0,36736.0,36736.0,36736.0,38251.5,38251.5,38251.5,38291.5,38291.5,38291.5,5077.0,5077.0,5077.0,33174.0,33174.0,33174.0,4277504.0,4277504.0,4277504.0,4096.0,4096.0,4096.0,4281600.0,4281600.0,4281600.0,474845.0,474845.0,474845.0,9.016567511503753,9.016567511503753,9.016567511503753,13.273492666746613,13.273492666746613,13.273492666746613
gemv,random_layout_candidate_3677c8a9a781,mapping_c952bfd03ae0,5,linear_inner,"[64, 4]",linear,"[48, 62, 4, 187, 69, 29, 180, 56]","[48, 62, 4, 2107, 1029, 29, 2100, 56, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",524288.0,10,20,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,32944.0,32944.0,32944.0,64.0,64.0,64.0,33008.0,33008.0,33008.0,34588.0,34588.0,34588.0,34538.5,34538.5,34538.5,1418.5,1418.5,1418.5,33171.0,33171.0,33171.0,4277312.0,4277312.0,4277312.0,4096.0,4096.0,4096.0,4281408.0,4281408.0,4281408.0,385164.0,385164.0,385164.0,11.114475772586665,11.114475772586665,11.114475772586665,4.101133302676736,4.101133302676736,4.101133302676736
gemv,random_layout_candidate_0beed639bf0a,mapping_cb795c9acd51,6,linear_inner,"[64, 4]",linear,"[203, 43, 85, 109, 208, 15, 25, 200]","[3083, 43, 1045, 1069, 3088, 15, 25, 3080, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",524288.0,10,23,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,32964.0,32964.0,32964.0,64.0,64.0,64.0,33028.0,33028.0,33028.0,34632.5,34632.5,34632.5,34562.0,34562.0,34562.0,1451.0,1451.0,1451.0,33182.0,33182.0,33182.0,4277824.0,4277824.0,4277824.0,4096.0,4096.0,4096.0,4281920.0,4281920.0,4281920.0,422444.0,422444.0,422444.0,10.13460065723517,10.13460065723517,10.13460065723517,4.190068856191689,4.190068856191689,4.190068856191689
gemv,random_layout_candidate_89f841e4651d,mapping_35368f6ca4d2,7,linear_inner,"[64, 2]",linear,"[77, 2, 24, 123, 124, 23, 91]","[1037, 2, 24, 1083, 1084, 23, 1051, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",262144.0,9,20,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,32840.0,32840.0,32840.0,64.0,64.0,64.0,32904.0,32904.0,32904.0,34504.5,34504.5,34504.5,34442.0,34442.0,34442.0,1329.5,1329.5,1329.5,33172.0,33172.0,33172.0,4277696.0,4277696.0,4277696.0,4096.0,4096.0,4096.0,4281792.0,4281792.0,4281792.0,468184.5,468184.5,468184.5,9.146156861323671,9.146156861323671,9.146156861323671,3.853846250831208,3.853846250831208,3.853846250831208
gemv,random_layout_candidate_298542b6300c,mapping_971c2af36e2d,8,linear_inner,"[64, 1]",linear,"[43, 1, 34, 27, 39, 6]","[43, 1, 34, 27, 39, 6, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",131072.0,8,11,1,True,524352.0,524352.0,524352.0,1048576.0,1048576.0,1048576.0,32768.0,32768.0,32768.0,64.0,64.0,64.0,32832.0,32832.0,32832.0,34412.5,34412.5,34412.5,34351.5,34351.5,34351.5,1242.5,1242.5,1242.5,33170.5,33170.5,33170.5,4277504.0,4277504.0,4277504.0,4096.0,4096.0,4096.0,4281600.0,4281600.0,4281600.0,488105.0,488105.0,488105.0,8.770406728627249,8.770406728627249,8.770406728627249,3.609977085292013,3.609977085292013,3.609977085292013
gemv,random_layout_candidate_005c95cdfb6b,mapping_c3ca68b48bd4,9,linear_inner,"[64, 64]",linear,"[161, 2443, 413, 2864, 4047, 1602, 816, 1065, 1468, 3704, 2996, 1926]","[2081, 38923, 6173, 45104, 64527, 25602, 12336, 16425, 22588, 58424, 47156, 30726, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,57,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,36256.0,36256.0,36256.0,64.0,64.0,64.0,36320.0,36320.0,36320.0,37915.5,37915.5,37915.5,37732.5,37732.5,37732.5,4739.5,4739.5,4739.5,33174.0,33174.0,33174.0,4280320.0,4280320.0,4280320.0,4096.0,4096.0,4096.0,4284416.0,4284416.0,4284416.0,493184.5,493184.5,493184.5,8.687377654290401,8.687377654290401,8.687377654290401,12.50015186928521,12.50015186928521,12.50015186928521
gemv,random_layout_candidate_2224d2146961,mapping_9928348c241a,10,linear_inner,"[64, 64]",linear,"[54, 1931, 2790, 1678, 3686, 2331, 3583, 2083, 3758, 1275, 2658, 1462]","[54, 30731, 44070, 26638, 58406, 36891, 56383, 32803, 59438, 19515, 42018, 22582, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,68,1,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,36864.0,36864.0,36864.0,64.0,64.0,64.0,36928.0,36928.0,36928.0,38489.5,38489.5,38489.5,38351.5,38351.5,38351.5,5300.5,5300.5,5300.5,33186.0,33186.0,33186.0,4277568.0,4277568.0,4277568.0,4096.0,4096.0,4096.0,4281664.0,4281664.0,4281664.0,442204.5,442204.5,442204.5,9.68210872027635,9.68210872027635,9.68210872027635,13.768911498537477,13.768911498537477,13.768911498537477
