case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
gesummv,counter_candidate_88013e719422,mapping_006423de7947,"[64, 1]",rrrrrr,32768.0,3,0,1,True,1114176.0,1114176.0,1114176.0,574464.0,574464.0,574464.0,64.0,64.0,64.0,574528.0,574528.0,574528.0,576092.0,576092.0,576092.0,510159.5,510159.5,510159.5,65931.0,65931.0,65931.0,8469568.0,8469568.0,8469568.0,4096.0,4096.0,4096.0,8473664.0,8473664.0,8473664.0,553524.0,553524.0,553524.0,15.308460073095302,15.308460073095302,15.308460073095302,88.55521340357811,88.55521340357811,88.55521340357811
gesummv,counter_candidate_3a920470cf9d,mapping_691762e447c1,"[64, 2]",rrrrrcr,32768.0,5,0,1,True,1114176.0,1114176.0,1114176.0,574496.0,574496.0,574496.0,64.0,64.0,64.0,574560.0,574560.0,574560.0,576050.0,576050.0,576050.0,510097.0,510097.0,510097.0,65950.5,65950.5,65950.5,8472960.0,8472960.0,8472960.0,4096.0,4096.0,4096.0,8477056.0,8477056.0,8477056.0,548122.0,548122.0,548122.0,15.465526737759756,15.465526737759756,15.465526737759756,88.55223093287668,88.55223093287668,88.55223093287668
gesummv,counter_candidate_e73db4c1332b,mapping_15ca7d3d6fea,"[64, 4]",rrrrrccr,32768.0,5,0,1,True,1114176.0,1114176.0,1114176.0,320960.0,320960.0,320960.0,64.0,64.0,64.0,321024.0,321024.0,321024.0,322568.0,322568.0,322568.0,256624.5,256624.5,256624.5,65944.0,65944.0,65944.0,8472256.0,8472256.0,8472256.0,4096.0,4096.0,4096.0,8476352.0,8476352.0,8476352.0,544163.0,544163.0,544163.0,15.577098477351266,15.577098477351266,15.577098477351266,79.55671345678556,79.55671345678556,79.55671345678556
gesummv,counter_candidate_01531a475688,mapping_5c4e197211dd,"[64, 8]",rrrrrcccr,32768.0,5,0,1,True,1114176.0,1114176.0,1114176.0,321024.0,321024.0,321024.0,64.0,64.0,64.0,321088.0,321088.0,321088.0,322620.0,322620.0,322620.0,256656.5,256656.5,256656.5,65948.0,65948.0,65948.0,8471552.0,8471552.0,8471552.0,4096.0,4096.0,4096.0,8475648.0,8475648.0,8475648.0,543343.0,543343.0,543343.0,15.598251609253229,15.598251609253229,15.598251609253229,79.55633537486946,79.55633537486946,79.55633537486946
gesummv,counter_candidate_c079ce774b0e,mapping_746f3ed6e3ea,"[64, 16]",rrrrrccccr,32768.0,5,0,1,True,1114176.0,1114176.0,1114176.0,320992.0,320992.0,320992.0,64.0,64.0,64.0,321056.0,321056.0,321056.0,322680.5,322680.5,322680.5,256719.5,256719.5,256719.5,65963.0,65963.0,65963.0,8471360.0,8471360.0,8471360.0,4096.0,4096.0,4096.0,8475456.0,8475456.0,8475456.0,547102.0,547102.0,547102.0,15.492457791452553,15.492457791452553,15.492457791452553,79.55752652022451,79.55752652022451,79.55752652022451
gesummv,counter_candidate_e6897e723afb,mapping_f9e782a27d81,"[64, 32]",rrrrrcccccr,32768.0,5,0,1,True,1114176.0,1114176.0,1114176.0,321024.0,321024.0,321024.0,64.0,64.0,64.0,321088.0,321088.0,321088.0,322585.5,322585.5,322585.5,256626.0,256626.0,256626.0,65956.0,65956.0,65956.0,8472384.0,8472384.0,8472384.0,4096.0,4096.0,4096.0,8476480.0,8476480.0,8476480.0,564182.0,564182.0,564182.0,15.024711918720328,15.024711918720328,15.024711918720328,79.55397230837005,79.55397230837005,79.55397230837005
gesummv,counter_candidate_794049a82c55,mapping_c3a05196b6b0,"[64, 64]",rrrrrccccccr,32768.0,5,0,1,True,1114176.0,1114176.0,1114176.0,321024.0,321024.0,321024.0,64.0,64.0,64.0,321088.0,321088.0,321088.0,322663.0,322663.0,322663.0,256719.0,256719.0,256719.0,65944.5,65944.5,65944.5,8472320.0,8472320.0,8472320.0,4096.0,4096.0,4096.0,8476416.0,8476416.0,8476416.0,567762.0,567762.0,567762.0,14.9300869026106,14.9300869026106,14.9300869026106,79.5626410181053,79.5626410181053,79.5626410181053
gesummv,counter_candidate_584dec4bb83a,mapping_b035d0be6f95,"[64, 2]",crrrrrr,65536.0,4,0,1,True,1310784.0,1310784.0,1310784.0,1089590.0,1089590.0,1089590.0,64.0,64.0,64.0,1089654.0,1089654.0,1089654.0,1091259.0,1091259.0,1091259.0,1025310.5,1025310.5,1025310.5,65950.0,65950.0,65950.0,8472704.0,8472704.0,8472704.0,4096.0,4096.0,4096.0,8476800.0,8476800.0,8476800.0,516562.0,516562.0,516562.0,16.4116452506346,16.4116452506346,16.4116452506346,93.95652177896766,93.95652177896766,93.95652177896766
gesummv,counter_candidate_b24a30d24f8d,mapping_2b41da8e32f9,"[64, 4]",rrrrccrr,65536.0,5,0,1,True,1114176.0,1114176.0,1114176.0,582567.0,582567.0,582567.0,64.0,64.0,64.0,582631.0,582631.0,582631.0,584387.5,584387.5,584387.5,518430.0,518430.0,518430.0,65951.0,65951.0,65951.0,8473728.0,8473728.0,8473728.0,4096.0,4096.0,4096.0,8477824.0,8477824.0,8477824.0,492082.0,492082.0,492082.0,17.22808886754026,17.22808886754026,17.22808886754026,88.71454176764686,88.71454176764686,88.71454176764686
gesummv,counter_candidate_575c725d2851,mapping_dec75b39dfc8,"[64, 8]",rrrrcccrr,65536.0,5,0,1,True,1114176.0,1114176.0,1114176.0,329144.0,329144.0,329144.0,64.0,64.0,64.0,329208.0,329208.0,329208.0,330967.5,330967.5,330967.5,265014.0,265014.0,265014.0,65951.0,65951.0,65951.0,8473728.0,8473728.0,8473728.0,4096.0,4096.0,4096.0,8477824.0,8477824.0,8477824.0,481142.0,481142.0,481142.0,17.6211440967038,17.6211440967038,17.6211440967038,80.07169051555437,80.07169051555437,80.07169051555437
