case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
gesummv,random_layout_candidate_29483160a733,mapping_be7fc7e9c054,1,linear_inner,"[64, 64]",linear,"[2465, 3695, 601, 1270, 404, 2989, 302, 3681, 3483, 2801, 1352, 1933]","[38945, 58415, 9241, 19510, 6164, 47149, 4142, 58401, 55323, 44081, 21512, 30733, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,63,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1342336.0,1342336.0,1342336.0,64.0,64.0,64.0,1342400.0,1342400.0,1342400.0,1344115.0,1344115.0,1344115.0,1344006.0,1344006.0,1344006.0,1278165.5,1278165.5,1278165.5,65960.0,65960.0,65960.0,8475968.0,8475968.0,8475968.0,4096.0,4096.0,4096.0,8480064.0,8480064.0,8480064.0,729962.0,729962.0,729962.0,11.617481478410113,11.617481478410113,11.617481478410113,95.09269113187779,95.09269113187779,95.09269113187779
gesummv,random_layout_candidate_eb4cb5d2c7ee,mapping_0a303208fda4,2,linear_inner,"[64, 16]",linear,"[488, 453, 886, 533, 266, 63, 824, 940, 561, 937]","[7208, 7173, 13366, 8213, 4106, 63, 12344, 14380, 8241, 14377, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",524288.0,12,41,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1204932.0,1204932.0,1204932.0,64.0,64.0,64.0,1204996.0,1204996.0,1204996.0,1206678.5,1206678.5,1206678.5,1206638.5,1206638.5,1206638.5,1140718.0,1140718.0,1140718.0,65959.5,65959.5,65959.5,8475840.0,8475840.0,8475840.0,4096.0,4096.0,4096.0,8479936.0,8479936.0,8479936.0,664562.0,664562.0,664562.0,12.760070544512493,12.760070544512493,12.760070544512493,94.53375726132987,94.53375726132987,94.53375726132987
gesummv,random_layout_candidate_181251aac05f,mapping_9eda944da0b2,3,linear_inner,"[64, 1]",linear,"[21, 52, 59, 34, 13, 61]","[21, 52, 59, 34, 13, 61, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",32768.0,8,15,1,True,1572928.0,1572928.0,1572928.0,2097152.0,2097152.0,2097152.0,574400.0,574400.0,574400.0,64.0,64.0,64.0,574464.0,574464.0,574464.0,576110.5,576110.5,576110.5,576040.5,576040.5,576040.5,510154.0,510154.0,510154.0,65958.5,65958.5,65958.5,8473024.0,8473024.0,8473024.0,4096.0,4096.0,4096.0,8477120.0,8477120.0,8477120.0,544561.5,544561.5,544561.5,15.562095485410792,15.562095485410792,15.562095485410792,88.55078902221483,88.55078902221483,88.55078902221483
gesummv,random_layout_candidate_147c04e6afe2,mapping_6c99628efad5,4,linear_inner,"[64, 64]",linear,"[2470, 2241, 2406, 1178, 1822, 375, 2442, 3268, 1576, 1298, 2357, 991]","[38950, 35841, 37926, 18458, 28702, 5175, 38922, 52228, 24616, 20498, 36917, 15391, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,56,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1342304.0,1342304.0,1342304.0,64.0,64.0,64.0,1342368.0,1342368.0,1342368.0,1344034.0,1344034.0,1344034.0,1343943.0,1343943.0,1343943.0,1278072.0,1278072.0,1278072.0,65960.0,65960.0,65960.0,8475840.0,8475840.0,8475840.0,4096.0,4096.0,4096.0,8479936.0,8479936.0,8479936.0,730122.0,730122.0,730122.0,11.614585128029377,11.614585128029377,11.614585128029377,95.09231897397333,95.09231897397333,95.09231897397333
gesummv,random_layout_candidate_04ce9ea64334,mapping_c952bfd03ae0,5,linear_inner,"[64, 4]",linear,"[48, 62, 4, 187, 69, 29, 180, 56]","[48, 62, 4, 2107, 1029, 29, 2100, 56, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",131072.0,10,20,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1106064.0,1106064.0,1106064.0,64.0,64.0,64.0,1106128.0,1106128.0,1106128.0,1107771.5,1107771.5,1107771.5,1107728.5,1107728.5,1107728.5,1041813.5,1041813.5,1041813.5,65956.0,65956.0,65956.0,8474432.0,8474432.0,8474432.0,4096.0,4096.0,4096.0,8478528.0,8478528.0,8478528.0,556981.5,556981.5,556981.5,15.22193486486664,15.22193486486664,15.22193486486664,94.04610968967168,94.04610968967168,94.04610968967168
gesummv,random_layout_candidate_412905dd3887,mapping_cb795c9acd51,6,linear_inner,"[64, 4]",linear,"[203, 43, 85, 109, 208, 15, 25, 200]","[3083, 43, 1045, 1069, 3088, 15, 25, 3080, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",131072.0,10,23,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1106058.0,1106058.0,1106058.0,64.0,64.0,64.0,1106122.0,1106122.0,1106122.0,1107800.0,1107800.0,1107800.0,1107725.0,1107725.0,1107725.0,1041834.5,1041834.5,1041834.5,65963.0,65963.0,65963.0,8475136.0,8475136.0,8475136.0,4096.0,4096.0,4096.0,8479232.0,8479232.0,8479232.0,593102.0,593102.0,593102.0,14.29852203187178,14.29852203187178,14.29852203187178,94.04553422974132,94.04553422974132,94.04553422974132
gesummv,random_layout_candidate_a8b3bd5a9637,mapping_35368f6ca4d2,7,linear_inner,"[64, 2]",linear,"[77, 2, 24, 123, 124, 23, 91]","[1037, 2, 24, 1083, 1084, 23, 1051, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",65536.0,9,20,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1089587.0,1089587.0,1089587.0,64.0,64.0,64.0,1089651.0,1089651.0,1089651.0,1091295.5,1091295.5,1091295.5,1091233.0,1091233.0,1091233.0,1025338.0,1025338.0,1025338.0,65955.0,65955.0,65955.0,8474432.0,8474432.0,8474432.0,4096.0,4096.0,4096.0,8478528.0,8478528.0,8478528.0,606682.0,606682.0,606682.0,13.975559155885499,13.975559155885499,13.975559155885499,93.9562715346546,93.9562715346546,93.9562715346546
gesummv,random_layout_candidate_a3f7e1c64f3f,mapping_971c2af36e2d,8,linear_inner,"[64, 1]",linear,"[43, 1, 34, 27, 39, 6]","[43, 1, 34, 27, 39, 6, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",32768.0,8,11,1,True,1572928.0,1572928.0,1572928.0,2097152.0,2097152.0,2097152.0,574432.0,574432.0,574432.0,64.0,64.0,64.0,574496.0,574496.0,574496.0,576147.0,576147.0,576147.0,576013.0,576013.0,576013.0,510187.5,510187.5,510187.5,65955.5,65955.5,65955.5,8473024.0,8473024.0,8473024.0,4096.0,4096.0,4096.0,8477120.0,8477120.0,8477120.0,548862.0,548862.0,548862.0,15.446418237358124,15.446418237358124,15.446418237358124,88.55161963915543,88.55161963915543,88.55161963915543
gesummv,random_layout_candidate_2fc8b9ca189f,mapping_c3ca68b48bd4,9,linear_inner,"[64, 64]",linear,"[161, 2443, 413, 2864, 4047, 1602, 816, 1065, 1468, 3704, 2996, 1926]","[2081, 38923, 6173, 45104, 64527, 25602, 12336, 16425, 22588, 58424, 47156, 30726, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",524288.0,14,57,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1212800.0,1212800.0,1212800.0,64.0,64.0,64.0,1212864.0,1212864.0,1212864.0,1214539.5,1214539.5,1214539.5,1214438.0,1214438.0,1214438.0,1148567.0,1148567.0,1148567.0,65972.5,65972.5,65972.5,8477184.0,8477184.0,8477184.0,4096.0,4096.0,4096.0,8481280.0,8481280.0,8481280.0,721482.5,721482.5,721482.5,11.755352315655278,11.755352315655278,11.755352315655278,94.56816806413924,94.56816806413924,94.56816806413924
gesummv,random_layout_candidate_3c034e9bf5cb,mapping_9928348c241a,10,linear_inner,"[64, 64]",linear,"[54, 1931, 2790, 1678, 3686, 2331, 3583, 2083, 3758, 1275, 2658, 1462]","[54, 30731, 44070, 26638, 58406, 36891, 56383, 32803, 59438, 19515, 42018, 22582, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,14,68,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,1342368.0,1342368.0,1342368.0,64.0,64.0,64.0,1342432.0,1342432.0,1342432.0,1344105.0,1344105.0,1344105.0,1344002.5,1344002.5,1344002.5,1278143.5,1278143.5,1278143.5,65960.0,65960.0,65960.0,8475904.0,8475904.0,8475904.0,4096.0,4096.0,4096.0,8480000.0,8480000.0,8480000.0,706462.0,706462.0,706462.0,12.002448789204877,12.002448789204877,12.002448789204877,95.09263433876026,95.09263433876026,95.09263433876026
