case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
mvt,random_layout_candidate_67e3abaf5aab,mapping_81cc0a4fb0fa,1,linear_inner,"[64, 64]",linear,"[3095, 388, 2532, 3274, 1026, 4043, 3726, 2181, 4025, 2888, 3318, 2465]","[49175, 6148, 39972, 52234, 16386, 64523, 59406, 34821, 63545, 46088, 52278, 38945, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",2097152.0,14,58,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,71424.0,71424.0,71424.0,64.0,64.0,64.0,71488.0,71488.0,71488.0,74102.0,74102.0,74102.0,74119.0,74119.0,74119.0,13542.0,13542.0,13542.0,60561.5,60561.5,60561.5,7814656.0,7814656.0,7814656.0,4096.0,4096.0,4096.0,7818752.0,7818752.0,7818752.0,809986.0,809986.0,809986.0,9.652789070338796,9.652789070338796,9.652789070338796,18.274776105592316,18.274776105592316,18.274776105592316
mvt,random_layout_candidate_6ec910592c16,mapping_2db740f92888,2,linear_inner,"[64, 4]",linear,"[79, 25, 186, 18, 230, 217, 175, 84]","[1039, 25, 2106, 18, 3110, 3097, 2095, 1044, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1310720.0,10,26,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,67564.0,67564.0,67564.0,64.0,64.0,64.0,67628.0,67628.0,67628.0,70586.0,70586.0,70586.0,70483.0,70483.0,70483.0,10026.0,10026.0,10026.0,60559.0,60559.0,60559.0,7813632.0,7813632.0,7813632.0,4096.0,4096.0,4096.0,7817728.0,7817728.0,7817728.0,702905.0,702905.0,702905.0,11.121892126743088,11.121892126743088,11.121892126743088,14.204746418046756,14.204746418046756,14.204746418046756
mvt,random_layout_candidate_be93d66daaf1,mapping_904afe576474,3,linear_inner,"[1, 64]",linear,"[28, 55, 33, 16, 3, 51]","[28672, 56320, 33792, 16384, 3072, 52224, 65536, 131072, 262144, 524288, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512]",1114112.0,8,11,1,True,1310784.0,1310784.0,1310784.0,2097152.0,2097152.0,2097152.0,510080.0,510080.0,510080.0,64.0,64.0,64.0,510144.0,510144.0,510144.0,512783.0,512783.0,512783.0,512693.0,512693.0,512693.0,452254.5,452254.5,452254.5,60528.0,60528.0,60528.0,7804096.0,7804096.0,7804096.0,4096.0,4096.0,4096.0,7808192.0,7808192.0,7808192.0,570824.0,570824.0,570824.0,13.679369231262573,13.679369231262573,13.679369231262573,88.19585555504673,88.19585555504673,88.19585555504673
mvt,random_layout_candidate_028ee00abdd5,mapping_c3ed921d3aee,4,linear_inner,"[2, 64]",linear,"[117, 1, 11, 92, 107, 51, 90]","[59393, 1, 5121, 47104, 54273, 25601, 46080, 65536, 131072, 262144, 524288, 2, 4, 8, 16, 32, 64, 128, 256, 512]",1179648.0,9,19,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,67586.0,67586.0,67586.0,64.0,64.0,64.0,67650.0,67650.0,67650.0,70393.0,70393.0,70393.0,70344.5,70344.5,70344.5,9861.0,9861.0,9861.0,60522.0,60522.0,60522.0,7804480.0,7804480.0,7804480.0,4096.0,4096.0,4096.0,7808576.0,7808576.0,7808576.0,589624.5,589624.5,589624.5,13.24634351563553,13.24634351563553,13.24634351563553,14.01021427184839,14.01021427184839,14.01021427184839
mvt,random_layout_candidate_8c4720a45294,mapping_7b5abb22f6cb,5,linear_inner,"[32, 64]",linear,"[1441, 1782, 128, 391, 1878, 1162, 454, 488, 1645, 1981, 291]","[46081, 56342, 4096, 12295, 59414, 36874, 14342, 15368, 52237, 62493, 9219, 65536, 131072, 262144, 524288, 32, 64, 128, 256, 512]",1572864.0,13,49,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,69152.0,69152.0,69152.0,64.0,64.0,64.0,69216.0,69216.0,69216.0,72194.0,72194.0,72194.0,72100.5,72100.5,72100.5,11633.0,11633.0,11633.0,60562.0,60562.0,60562.0,7813248.0,7813248.0,7813248.0,4096.0,4096.0,4096.0,7817344.0,7817344.0,7817344.0,752025.5,752025.5,752025.5,10.395200810739741,10.395200810739741,10.395200810739741,16.113526745415594,16.113526745415594,16.113526745415594
mvt,random_layout_candidate_737083901ec9,mapping_b2b75ceed7f5,6,linear_inner,"[32, 64]",linear,"[416, 1973, 1637, 1235, 1120, 1203, 589, 911, 187, 1221, 1634]","[13312, 62485, 52229, 38931, 35840, 37907, 18445, 28687, 5147, 38917, 52226, 65536, 131072, 262144, 524288, 32, 64, 128, 256, 512]",1572864.0,13,49,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,69064.0,69064.0,69064.0,64.0,64.0,64.0,69128.0,69128.0,69128.0,72100.0,72100.0,72100.0,72029.5,72029.5,72029.5,11543.0,11543.0,11543.0,60557.0,60557.0,60557.0,7813184.0,7813184.0,7813184.0,4096.0,4096.0,4096.0,7817280.0,7817280.0,7817280.0,731325.0,731325.0,731325.0,10.689201225915653,10.689201225915653,10.689201225915653,16.008250699206688,16.008250699206688,16.008250699206688
mvt,random_layout_candidate_3a3c5d6cb99f,mapping_08cae5b0a4c1,7,linear_inner,"[64, 64]",linear,"[1127, 1845, 2017, 2704, 2626, 4080, 2868, 3755, 4024, 3249, 1463, 337]","[17447, 28725, 31777, 43024, 41986, 64560, 45108, 59435, 63544, 51249, 22583, 5137, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1572864.0,14,64,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,70560.0,70560.0,70560.0,64.0,64.0,64.0,70624.0,70624.0,70624.0,73670.0,73670.0,73670.0,73604.0,73604.0,73604.0,13110.0,13110.0,13110.0,60562.0,60562.0,60562.0,7814656.0,7814656.0,7814656.0,4096.0,4096.0,4096.0,7818752.0,7818752.0,7818752.0,823045.5,823045.5,823045.5,9.499858756246168,9.499858756246168,9.499858756246168,17.795539963189235,17.795539963189235,17.795539963189235
mvt,random_layout_candidate_68cd1f407359,mapping_9d90e35b92e9,8,linear_inner,"[64, 32]",linear,"[555, 239, 1444, 451, 761, 1627, 349, 681, 872, 1670, 127]","[8235, 3119, 22564, 7171, 11321, 25627, 5149, 10281, 13352, 26630, 1087, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1572864.0,13,53,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,69152.0,69152.0,69152.0,64.0,64.0,64.0,69216.0,69216.0,69216.0,72236.0,72236.0,72236.0,72123.5,72123.5,72123.5,11670.0,11670.0,11670.0,60568.0,60568.0,60568.0,7814656.0,7814656.0,7814656.0,4096.0,4096.0,4096.0,7818752.0,7818752.0,7818752.0,781786.0,781786.0,781786.0,10.001488977037035,10.001488977037035,10.001488977037035,16.155379589124536,16.155379589124536,16.155379589124536
mvt,random_layout_candidate_02d6ab02346c,mapping_e1f2f358c75b,9,linear_inner,"[64, 2]",linear,"[73, 81, 116, 119, 68, 77, 87]","[1033, 1041, 1076, 1079, 1028, 1037, 1047, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1179648.0,9,20,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,67462.0,67462.0,67462.0,64.0,64.0,64.0,67526.0,67526.0,67526.0,70531.0,70531.0,70531.0,70468.5,70468.5,70468.5,9968.0,9968.0,9968.0,60566.0,60566.0,60566.0,7815040.0,7815040.0,7815040.0,4096.0,4096.0,4096.0,7819136.0,7819136.0,7819136.0,776545.5,776545.5,776545.5,10.069027993504985,10.069027993504985,10.069027993504985,14.13279269829427,14.13279269829427,14.13279269829427
mvt,random_layout_candidate_640008a03762,mapping_75f8506c7b49,10,linear_inner,"[64, 2]",linear,"[4, 77, 2, 24, 123, 124, 23]","[4, 1037, 2, 24, 1083, 1084, 23, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1179648.0,9,16,1,True,2097216.0,2097216.0,2097216.0,2097152.0,2097152.0,2097152.0,67495.0,67495.0,67495.0,64.0,64.0,64.0,67559.0,67559.0,67559.0,70344.5,70344.5,70344.5,70259.5,70259.5,70259.5,9825.0,9825.0,9825.0,60521.0,60521.0,60521.0,7804928.0,7804928.0,7804928.0,4096.0,4096.0,4096.0,7809024.0,7809024.0,7809024.0,637804.5,637804.5,637804.5,12.242519514393909,12.242519514393909,12.242519514393909,13.967462709680094,13.967462709680094,13.967462709680094
