case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
softmax_bias,random_layout_candidate_0324b5b4e33a,mapping_8a72fa6a4fba,1,linear_inner,"[64, 256]",linear,"[1208, 14726, 13934, 11206, 5409, 7735, 9171, 1649, 5796, 7113, 5180, 10008, 10492, 14958]","[18488, 235526, 222254, 179206, 86049, 122935, 146451, 25649, 92196, 113673, 81980, 159768, 166972, 238638, 64, 128, 256, 512]",262144.0,15,86,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,139264.0,139264.0,139264.0,16384.0,16384.0,16384.0,155648.0,155648.0,155648.0,160013.0,160013.0,160013.0,143618.0,143618.0,143618.0,94324.0,94324.0,94324.0,65689.0,65689.0,65689.0,7372032.0,7372032.0,7372032.0,1048576.0,1048576.0,1048576.0,8420608.0,8420608.0,8420608.0,3300.0,3300.0,3300.0,2551.79312371437,2551.79312371437,2551.79312371437,58.94771049852199,58.94771049852199,58.94771049852199
softmax_bias,random_layout_candidate_c132c3945e0a,mapping_118863015310,2,linear_inner,"[2, 256]",linear,"[472, 276, 104, 493, 409, 308, 280, 300, 147]","[241664, 141312, 53248, 251905, 208897, 157696, 143360, 153600, 74753, 2, 4, 8, 16, 32, 64, 128, 256, 512]",65536.0,10,29,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,24576.0,24576.0,24576.0,16384.0,16384.0,16384.0,40960.0,40960.0,40960.0,44725.0,44725.0,44725.0,28330.0,28330.0,28330.0,11816.0,11816.0,11816.0,32909.0,32909.0,32909.0,3173888.0,3173888.0,3173888.0,1048576.0,1048576.0,1048576.0,4222464.0,4222464.0,4222464.0,2640.0,2640.0,2640.0,1599.418181818182,1599.418181818182,1599.418181818182,26.419228619340412,26.419228619340412,26.419228619340412
softmax_bias,random_layout_candidate_1f8fab78af67,mapping_75511dff368c,3,linear_inner,"[8, 256]",linear,"[187, 1221, 1634, 788, 649, 1178, 495, 594, 376, 387, 1682]","[23555, 155653, 208898, 100356, 82945, 150530, 62471, 75778, 48128, 49155, 215042, 8, 16, 32, 64, 128, 256, 512]",262144.0,12,44,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,73728.0,73728.0,73728.0,16384.0,16384.0,16384.0,90112.0,90112.0,90112.0,94118.0,94118.0,94118.0,77723.5,77723.5,77723.5,28434.0,28434.0,28434.0,65684.0,65684.0,65684.0,7369728.0,7369728.0,7369728.0,1048576.0,1048576.0,1048576.0,8418304.0,8418304.0,8418304.0,3100.0,3100.0,3100.0,2715.694971694972,2715.694971694972,2715.694971694972,30.211011708706092,30.211011708706092,30.211011708706092
softmax_bias,random_layout_candidate_5d23ebde00a3,mapping_72445af5e991,4,linear_inner,"[2, 256]",linear,"[374, 138, 59, 361, 112, 190, 406, 87, 170]","[191488, 70656, 29697, 184321, 57344, 97280, 207872, 44033, 87040, 2, 4, 8, 16, 32, 64, 128, 256, 512]",131072.0,10,33,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,24576.0,24576.0,24576.0,16384.0,16384.0,16384.0,40960.0,40960.0,40960.0,44726.0,44726.0,44726.0,28330.0,28330.0,28330.0,11816.0,11816.0,11816.0,32910.0,32910.0,32910.0,3173888.0,3173888.0,3173888.0,1048576.0,1048576.0,1048576.0,4222464.0,4222464.0,4222464.0,2760.0,2760.0,2760.0,1529.878260869565,1529.878260869565,1529.878260869565,26.418637928721548,26.418637928721548,26.418637928721548
softmax_bias,random_layout_candidate_8b3e321b5fc0,mapping_87bbe4f85541,5,linear_inner,"[8, 256]",linear,"[1414, 25, 937, 1518, 161, 687, 1513, 93, 1114, 575, 276]","[180230, 3073, 119809, 193542, 20481, 87047, 193537, 11269, 142338, 72711, 34820, 8, 16, 32, 64, 128, 256, 512]",131072.0,12,48,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,73728.0,73728.0,73728.0,16384.0,16384.0,16384.0,90112.0,90112.0,90112.0,94117.5,94117.5,94117.5,77722.0,77722.0,77722.0,28434.0,28434.0,28434.0,65683.5,65683.5,65683.5,7369728.0,7369728.0,7369728.0,1048576.0,1048576.0,1048576.0,8418304.0,8418304.0,8418304.0,3120.0,3120.0,3120.0,2698.174358974359,2698.174358974359,2698.174358974359,30.211172205809213,30.211172205809213,30.211172205809213
softmax_bias,random_layout_candidate_e8bdd4e679fc,mapping_ad5b56c0d481,6,linear_inner,"[2, 256]",linear,"[390, 488, 246, 180, 312, 147, 344, 183, 302]","[199680, 249856, 125952, 92160, 159744, 74753, 176128, 93185, 154624, 2, 4, 8, 16, 32, 64, 128, 256, 512]",262144.0,10,33,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,24576.0,24576.0,24576.0,16384.0,16384.0,16384.0,40960.0,40960.0,40960.0,44725.0,44725.0,44725.0,28330.0,28330.0,28330.0,11816.0,11816.0,11816.0,32909.0,32909.0,32909.0,3174016.0,3174016.0,3174016.0,1048576.0,1048576.0,1048576.0,4222592.0,4222592.0,4222592.0,2640.0,2640.0,2640.0,1599.418181818182,1599.418181818182,1599.418181818182,26.419228619340412,26.419228619340412,26.419228619340412
softmax_bias,random_layout_candidate_b9a75c7f56ba,mapping_4f5d1fcb2644,7,linear_inner,"[32, 256]",linear,"[7164, 3394, 258, 3295, 7140, 5749, 4648, 3426, 6325, 5424, 5808, 383, 1357]","[228380, 108546, 8194, 104479, 228356, 183317, 148488, 109570, 201749, 173072, 185360, 11295, 43021, 32, 64, 128, 256, 512]",262144.0,14,71,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,270336.0,270336.0,270336.0,16384.0,16384.0,16384.0,286720.0,286720.0,286720.0,290966.0,290966.0,290966.0,274570.0,274570.0,274570.0,225276.0,225276.0,225276.0,65690.0,65690.0,65690.0,7371264.0,7371264.0,7371264.0,1048576.0,1048576.0,1048576.0,8419840.0,8419840.0,8419840.0,3100.0,3100.0,3100.0,2716.190476190476,2716.190476190476,2716.190476190476,77.42347903191438,77.42347903191438,77.42347903191438
softmax_bias,random_layout_candidate_16deed4f5380,mapping_de9e7ca077a6,8,linear_inner,"[8, 256]",linear,"[170, 1715, 1485, 267, 2021, 30, 822, 1944, 1389, 855, 647]","[21506, 219139, 189445, 33795, 258053, 3078, 104454, 248832, 177157, 108551, 81927, 8, 16, 32, 64, 128, 256, 512]",262144.0,12,54,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,73728.0,73728.0,73728.0,16384.0,16384.0,16384.0,90112.0,90112.0,90112.0,94117.0,94117.0,94117.0,77722.0,77722.0,77722.0,28434.0,28434.0,28434.0,65683.0,65683.0,65683.0,7369728.0,7369728.0,7369728.0,1048576.0,1048576.0,1048576.0,8418304.0,8418304.0,8418304.0,3240.0,3240.0,3240.0,2598.241975308642,2598.241975308642,2598.241975308642,30.211332702912333,30.211332702912333,30.211332702912333
softmax_bias,random_layout_candidate_f6917835e9c4,mapping_03e5893a9c00,9,linear_inner,"[1, 256]",linear,"[223, 77, 71, 176, 250, 46, 25, 121]","[228352, 78848, 72704, 180224, 256000, 47104, 25600, 123904, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512]",131072.0,9,28,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,32768.0,32768.0,32768.0,36402.0,36402.0,36402.0,20018.0,20018.0,20018.0,11702.0,11702.0,11702.0,24700.0,24700.0,24700.0,2124544.0,2124544.0,2124544.0,1048576.0,1048576.0,1048576.0,3173120.0,3173120.0,3173120.0,2680.0,2680.0,2680.0,1184.0,1184.0,1184.0,32.146585352453165,32.146585352453165,32.146585352453165
softmax_bias,random_layout_candidate_4afc1c6f9ee7,mapping_e5c387015f6b,10,linear_inner,"[64, 256]",linear,"[1535, 5541, 12769, 10166, 584, 675, 4417, 2684, 2448, 16087, 9559, 4743, 5913, 6468]","[23615, 88101, 203809, 161846, 9224, 10275, 70657, 42044, 38928, 257047, 152599, 75783, 94233, 103428, 64, 128, 256, 512]",262144.0,15,79,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,270336.0,270336.0,270336.0,16384.0,16384.0,16384.0,286720.0,286720.0,286720.0,291086.0,291086.0,291086.0,274690.0,274690.0,274690.0,225396.0,225396.0,225396.0,65690.0,65690.0,65690.0,7372032.0,7372032.0,7372032.0,1048576.0,1048576.0,1048576.0,8420608.0,8420608.0,8420608.0,3200.0,3200.0,3200.0,2631.44,2631.44,2631.44,77.43278618690009,77.43278618690009,77.43278618690009
softmax_bias,random_layout_candidate_966434b23127,mapping_a557703d555f,11,linear_inner,"[16, 256]",linear,"[531, 1201, 470, 1958, 2992, 981, 3824, 197, 1261, 735, 3510, 2142]","[33795, 76801, 29702, 124934, 191488, 62469, 244736, 12293, 79885, 46095, 224262, 136206, 16, 32, 64, 128, 256, 512]",262144.0,13,63,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,73728.0,73728.0,73728.0,16384.0,16384.0,16384.0,90112.0,90112.0,90112.0,94237.0,94237.0,94237.0,77842.0,77842.0,77842.0,44938.0,44938.0,44938.0,49299.0,49299.0,49299.0,5273408.0,5273408.0,5273408.0,1048576.0,1048576.0,1048576.0,6321984.0,6321984.0,6321984.0,2940.0,2940.0,2940.0,2150.4343576453166,2150.4343576453166,2150.4343576453166,47.68615299723039,47.68615299723039,47.68615299723039
softmax_bias,random_layout_candidate_0729b39b118c,mapping_8b4ab7bb2fe0,12,linear_inner,"[32, 256]",linear,"[580, 2479, 3302, 6844, 2691, 2451, 3397, 890, 814, 4594, 7443, 3941, 3883]","[18436, 78863, 105478, 218140, 86019, 77843, 108549, 27674, 25614, 146450, 237587, 125957, 123915, 32, 64, 128, 256, 512]",262144.0,14,73,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,139264.0,139264.0,139264.0,16384.0,16384.0,16384.0,155648.0,155648.0,155648.0,159894.0,159894.0,159894.0,143499.0,143499.0,143499.0,94204.0,94204.0,94204.0,65685.0,65685.0,65685.0,7371264.0,7371264.0,7371264.0,1048576.0,1048576.0,1048576.0,8419840.0,8419840.0,8419840.0,3160.0,3160.0,3160.0,2664.506329113924,2664.506329113924,2664.506329113924,58.92040141785819,58.92040141785819,58.92040141785819
softmax_bias,random_layout_candidate_bfe6a7c027b5,mapping_348eb5586a5c,13,linear_inner,"[4, 256]",linear,"[441, 196, 367, 117, 65, 841, 884, 873, 718, 28]","[112641, 50176, 93187, 29697, 16385, 215041, 226304, 223233, 183298, 7168, 4, 8, 16, 32, 64, 128, 256, 512]",131072.0,11,39,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,24576.0,24576.0,24576.0,16384.0,16384.0,16384.0,40960.0,40960.0,40960.0,44845.0,44845.0,44845.0,28450.0,28450.0,28450.0,11936.0,11936.0,11936.0,32909.0,32909.0,32909.0,3174656.0,3174656.0,3174656.0,1048576.0,1048576.0,1048576.0,4223232.0,4223232.0,4223232.0,2840.0,2840.0,2840.0,1487.0535211267606,1487.0535211267606,1487.0535211267606,26.61612219868436,26.61612219868436,26.61612219868436
softmax_bias,random_layout_candidate_e0ff26a900b6,mapping_6f05e5aba4af,14,linear_inner,"[16, 256]",linear,"[1849, 3081, 2772, 826, 487, 2036, 1630, 1050, 848, 2625, 172, 4083]","[117769, 196617, 177156, 52234, 30727, 130052, 103438, 66570, 54272, 167937, 10252, 261123, 16, 32, 64, 128, 256, 512]",262144.0,13,59,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,73728.0,73728.0,73728.0,16384.0,16384.0,16384.0,90112.0,90112.0,90112.0,94238.0,94238.0,94238.0,77842.0,77842.0,77842.0,28554.0,28554.0,28554.0,65684.0,65684.0,65684.0,7370496.0,7370496.0,7370496.0,1048576.0,1048576.0,1048576.0,8419072.0,8419072.0,8419072.0,3120.0,3120.0,3120.0,2698.4205128205126,2698.4205128205126,2698.4205128205126,30.299879029690782,30.299879029690782,30.299879029690782
softmax_bias,random_layout_candidate_d51c2b65ce9c,mapping_c8d6c6609718,15,linear_inner,"[64, 256]",linear,"[5574, 11560, 15770, 12239, 14729, 5214, 13404, 5272, 581, 8603, 2430, 14327, 4208, 9872]","[89094, 184360, 251930, 195599, 235529, 82974, 214044, 83992, 9221, 137243, 37950, 228407, 66608, 157712, 64, 128, 256, 512]",262144.0,15,85,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,270336.0,270336.0,270336.0,16384.0,16384.0,16384.0,286720.0,286720.0,286720.0,291085.0,291085.0,291085.0,274690.0,274690.0,274690.0,225396.0,225396.0,225396.0,65689.0,65689.0,65689.0,7372032.0,7372032.0,7372032.0,1048576.0,1048576.0,1048576.0,8420608.0,8420608.0,8420608.0,3200.0,3200.0,3200.0,2631.44,2631.44,2631.44,77.43305220124707,77.43305220124707,77.43305220124707
