case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
stencil5,random_layout_candidate_b8902d38921a,mapping_e24458749afe,1,linear_inner,"[64, 64]",linear,"[2465, 3695, 601, 1270, 404, 2989, 302, 3681, 3483, 2801, 1352, 1933]","[19489, 29231, 4633, 9782, 3092, 23597, 2094, 29217, 27675, 22065, 10760, 15373, 32768, 65536, 131072, 64, 128, 256]",1309696.0,14,63,1,True,1327104.0,1327104.0,1327104.0,1310720.0,1310720.0,1310720.0,505095.5,505095.5,505095.5,16384.0,16384.0,16384.0,521479.5,521479.5,521479.5,531643.5,531643.5,531643.5,516083.0,516083.0,516083.0,492563.5,492563.5,492563.5,39080.0,39080.0,39080.0,3983872.0,3983872.0,3983872.0,1048576.0,1048576.0,1048576.0,5032448.0,5032448.0,5032448.0,11880.0,11880.0,11880.0,423.60673400673403,423.60673400673403,423.60673400673403,92.6498523189733,92.6498523189733,92.6498523189733
stencil5,random_layout_candidate_06b16d3a6fca,mapping_5fe9a8151cb5,2,linear_inner,"[16, 64]",linear,"[488, 453, 886, 533, 266, 63, 824, 940, 561, 937]","[15368, 14341, 28166, 16901, 8202, 1551, 26120, 29708, 17921, 29705, 32768, 65536, 131072, 16, 32, 64, 128, 256]",334848.0,12,41,1,True,703488.0,703488.0,703488.0,1310720.0,1310720.0,1310720.0,146176.0,146176.0,146176.0,16384.0,16384.0,16384.0,162560.0,162560.0,162560.0,171483.0,171483.0,171483.0,155090.0,155090.0,155090.0,131282.0,131282.0,131282.0,40201.0,40201.0,40201.0,4124416.0,4124416.0,4124416.0,1048576.0,1048576.0,1048576.0,5172992.0,5172992.0,5172992.0,10300.5,10300.5,10300.5,502.2096538432828,502.2096538432828,502.2096538432828,76.55685986365995,76.55685986365995,76.55685986365995
stencil5,random_layout_candidate_d36d5f6a8392,mapping_c0cb1cec105b,3,linear_inner,"[1, 64]",linear,"[21, 52, 59, 34, 13, 61]","[10752, 26624, 30208, 17408, 6656, 31232, 32768, 65536, 131072, 1, 2, 4, 8, 16, 32, 64, 128, 256]",89088.0,8,15,1,True,678912.0,678912.0,678912.0,1310720.0,1310720.0,1310720.0,31712.0,31712.0,31712.0,16384.0,16384.0,16384.0,48096.0,48096.0,48096.0,54979.5,54979.5,54979.5,38586.0,38586.0,38586.0,14858.0,14858.0,14858.0,40121.5,40121.5,40121.5,4107264.0,4107264.0,4107264.0,1048576.0,1048576.0,1048576.0,5155840.0,5155840.0,5155840.0,7180.0,7180.0,7180.0,718.0891371818745,718.0891371818745,718.0891371818745,27.024618269043643,27.024618269043643,27.024618269043643
stencil5,random_layout_candidate_71876374d840,mapping_858b380cb683,4,linear_inner,"[64, 64]",linear,"[2470, 2241, 2406, 1178, 1822, 375, 2442, 3268, 1576, 1298, 2357, 991]","[19494, 17921, 18982, 9242, 14366, 2615, 19466, 26116, 12328, 10258, 18485, 7711, 32768, 65536, 131072, 64, 128, 256]",1309696.0,14,56,1,True,1327104.0,1327104.0,1327104.0,1310720.0,1310720.0,1310720.0,375427.0,375427.0,375427.0,16384.0,16384.0,16384.0,391811.0,391811.0,391811.0,402382.0,402382.0,402382.0,385250.0,385250.0,385250.0,363307.0,363307.0,363307.0,39076.0,39076.0,39076.0,3983872.0,3983872.0,3983872.0,1048576.0,1048576.0,1048576.0,5032448.0,5032448.0,5032448.0,11900.0,11900.0,11900.0,422.8959844530315,422.8959844530315,422.8959844530315,90.2895849403089,90.2895849403089,90.2895849403089
stencil5,random_layout_candidate_f40041ef0a8e,mapping_35c6bafaa170,5,linear_inner,"[4, 64]",linear,"[48, 62, 4, 187, 69, 29, 180, 56]","[6144, 7682, 512, 23555, 8705, 3585, 23040, 7168, 32768, 65536, 131072, 4, 8, 16, 32, 64, 128, 256]",334848.0,10,20,1,True,1326080.0,1326080.0,1326080.0,1310720.0,1310720.0,1310720.0,56192.0,56192.0,56192.0,16384.0,16384.0,16384.0,72576.0,72576.0,72576.0,80420.0,80420.0,80420.0,64026.0,64026.0,64026.0,40242.0,40242.0,40242.0,40178.0,40178.0,40178.0,4117504.0,4117504.0,4117504.0,1048576.0,1048576.0,1048576.0,5166080.0,5166080.0,5166080.0,9200.0,9200.0,9200.0,561.5304347826087,561.5304347826087,561.5304347826087,50.03979109674211,50.03979109674211,50.03979109674211
stencil5,random_layout_candidate_eaecdc94eff7,mapping_9f75dcb690a4,6,linear_inner,"[4, 64]",linear,"[203, 43, 85, 109, 208, 15, 25, 200]","[25603, 5123, 10753, 13825, 26624, 1539, 3073, 25600, 32768, 65536, 131072, 4, 8, 16, 32, 64, 128, 256]",171008.0,10,23,1,True,696320.0,696320.0,696320.0,1310720.0,1310720.0,1310720.0,56192.0,56192.0,56192.0,16384.0,16384.0,16384.0,72576.0,72576.0,72576.0,80411.0,80411.0,80411.0,64026.0,64026.0,64026.0,40242.0,40242.0,40242.0,40169.0,40169.0,40169.0,4117504.0,4117504.0,4117504.0,1048576.0,1048576.0,1048576.0,5166080.0,5166080.0,5166080.0,8820.0,8820.0,8820.0,585.7263677498971,585.7263677498971,585.7263677498971,50.04539180736927,50.04539180736927,50.04539180736927
stencil5,random_layout_candidate_76de13686c56,mapping_03f96d2ec61c,7,linear_inner,"[2, 64]",linear,"[77, 2, 24, 123, 124, 23, 91]","[19457, 512, 6144, 31233, 31744, 5633, 23041, 32768, 65536, 131072, 2, 4, 8, 16, 32, 64, 128, 256]",171008.0,9,20,1,True,1317888.0,1317888.0,1317888.0,1310720.0,1310720.0,1310720.0,39872.0,39872.0,39872.0,16384.0,16384.0,16384.0,56256.0,56256.0,56256.0,63620.0,63620.0,63620.0,47226.0,47226.0,47226.0,23454.0,23454.0,23454.0,40166.0,40166.0,40166.0,4114432.0,4114432.0,4114432.0,1048576.0,1048576.0,1048576.0,5163008.0,5163008.0,5163008.0,8160.0,8160.0,8160.0,632.721568627451,632.721568627451,632.721568627451,36.86576548255265,36.86576548255265,36.86576548255265
stencil5,random_layout_candidate_e5dc1b0a95b5,mapping_06edee5a465a,8,linear_inner,"[1, 64]",linear,"[43, 1, 34, 27, 39, 6]","[22016, 512, 17408, 13824, 19968, 3072, 32768, 65536, 131072, 1, 2, 4, 8, 16, 32, 64, 128, 256]",89088.0,8,11,1,True,678912.0,678912.0,678912.0,1310720.0,1310720.0,1310720.0,31712.0,31712.0,31712.0,16384.0,16384.0,16384.0,48096.0,48096.0,48096.0,54979.0,54979.0,54979.0,38586.0,38586.0,38586.0,14858.0,14858.0,14858.0,40121.0,40121.0,40121.0,4107264.0,4107264.0,4107264.0,1048576.0,1048576.0,1048576.0,5155840.0,5155840.0,5155840.0,7420.0,7420.0,7420.0,694.8621912234815,694.8621912234815,694.8621912234815,27.024864038996707,27.024864038996707,27.024864038996707
stencil5,random_layout_candidate_7a6daa9211f2,mapping_09253a2a4c0f,9,linear_inner,"[64, 64]",linear,"[161, 2443, 413, 2864, 4047, 1602, 816, 1065, 1468, 3704, 2996, 1926]","[1057, 19467, 3101, 22576, 32271, 12802, 6192, 8233, 11324, 29240, 23604, 15366, 32768, 65536, 131072, 64, 128, 256]",1309696.0,14,57,1,True,1327104.0,1327104.0,1327104.0,1310720.0,1310720.0,1310720.0,507551.0,507551.0,507551.0,16384.0,16384.0,16384.0,523935.0,523935.0,523935.0,532544.0,532544.0,532544.0,516416.5,516416.5,516416.5,493212.5,493212.5,493212.5,39335.0,39335.0,39335.0,4016640.0,4016640.0,4016640.0,1048576.0,1048576.0,1048576.0,5065216.0,5065216.0,5065216.0,12000.0,12000.0,12000.0,422.10133333333334,422.10133333333334,422.10133333333334,92.61441307636586,92.61441307636586,92.61441307636586
stencil5,random_layout_candidate_2857b8a578b0,mapping_4da113ebb8df,10,linear_inner,"[64, 64]",linear,"[54, 1931, 2790, 1678, 3686, 2331, 3583, 2083, 3758, 1275, 2658, 1462]","[54, 15371, 22054, 13326, 29222, 18459, 28223, 16419, 29742, 9787, 21026, 11318, 32768, 65536, 131072, 64, 128, 256]",1309696.0,14,68,1,True,1327104.0,1327104.0,1327104.0,1310720.0,1310720.0,1310720.0,269139.0,269139.0,269139.0,16384.0,16384.0,16384.0,285523.0,285523.0,285523.0,296034.0,296034.0,296034.0,278214.0,278214.0,278214.0,255813.0,255813.0,255813.0,40226.0,40226.0,40226.0,4129792.0,4129792.0,4129792.0,1048576.0,1048576.0,1048576.0,5178368.0,5178368.0,5178368.0,11080.0,11080.0,11080.0,467.36173285198555,467.36173285198555,467.36173285198555,86.41338474847046,86.41338474847046,86.41338474847046
